items,item_utilities,item_probabilities
441 884 1526,113 780 330,0.33 0.06 0.79
265 654 698 908 914 1208 1357,722 868 932 276 984 1148 542,0.48 0.42 0.1 0.57 0.06 0.42 0.7
9 99 692 1108 1291,726 944 310 492 690,0.36 0.99 0.37 0.68 0.58
467 696 833 856 900 1116 1409 1559,762 216 717 717 372 505 212 486,0.46 0.48 0.45 0.67 0.6 0.57 0.21 0.68
88 410 470 587,344 504 1450 981,0.23 0.53 0.67 0.36
27,1060,0.26
44 127 348 627 1205 1423 1436,1172 348 492 509 520 711 276,0.84 0.81 0.89 0.39 0.06 0.96 0.89
672 789 1022 1531,1002 724 453 153,0.58 0.84 0.14 0.4
27 33 1375,795 408 426,0.59 0.47 0.96
260 470 536 676 986,736 869 546 986 700,0.04 0.56 0.88 0.49 0.7
4 54 149 299 592 1235 1279,728 1172 996 672 496 276 1184,0.03 0.84 0.38 0.67 0.6 0.86 0.57
258 324 461 661 877 1187,516 591 544 702 474 660,0.85 0.43 0.89 0.87 0.19 0.49
442 598 798 1324 1380 1447,672 608 1084 662 1810 888,0.38 0.5 0.76 0.2 0.26 0.79
914,1230,0.28
459 1274 1530,192 393 381,0.69 0.65 0.72
140 650 1289 1349 1465,728 620 605 1160 1116,0.69 0.69 0.96 0.42 0.33
743 756 766 816 922 1006 1226 1505,384 1340 186 458 518 856 1184 1375,0.46 0.28 0.86 0.36 0.53 0.13 0.49 0.14
144 354 398 680 820 1269 1390,204 450 240 441 210 794 764,0.64 0.01 0.47 0.9 0.18 0.49 0.82
306 545 955 1338 1348 1554,1584 434 766 444 988 762,0.35 1.0 0.35 0.29 0.08 0.54
346 422 816 999 1022 1377,424 1468 1145 542 604 566,0.75 0.83 0.13 0.59 0.54 0.36
586 896,426 536,0.23 0.96
29 305 395 461 1121 1243 1250 1403,712 1356 888 544 1161 472 432 488,0.25 0.54 0.27 0.32 0.77 0.69 0.39 0.56
32 289 1134,572 411 364,0.78 0.11 0.2
608 947 1197 1324,204 195 1256 662,0.23 0.76 0.94 0.01
61 217 783 1066,148 136 741 1156,0.25 0.96 0.05 0.59
340 643,189 552,0.87 0.08
257 673 983,106 1096 246,0.59 0.47 0.25
223 406 773,1276 656 284,0.96 0.41 0.25
31 1119,620 1268,0.38 0.93
337 404 614 620 774 1529,225 375 1512 292 490 981,0.07 0.09 0.45 0.33 0.55 0.16
362 1138,794 488,0.52 0.1
17 300 349 439 445 595 888 1531,1196 1176 936 1400 1038 568 352 204,0.69 0.24 0.23 0.38 0.36 0.79 0.7 0.2
480 553 962 1345 1368,507 573 561 1104 1065,0.41 0.92 0.8 0.62 0.35
476 1185,728 405,0.1 0.77
259 488 692 908 1201 1251 1351,570 1036 620 206 1011 1074 501,0.83 0.85 0.97 0.97 0.98 0.75 0.11
1045 1382,1480 451,0.01 0.09
7 236 279 562 1115 1271,1044 543 1410 295 1000 1750,0.72 0.66 0.64 0.02 0.6 0.23
970 1313,1244 1568,0.68 0.3
451 828,356 387,0.69 0.69
1543,496,0.02
534 578 861 1420 1450,676 687 980 519 831,0.05 0.43 0.84 0.82 0.03
54 183 426 659 1235 1296 1485,1172 964 240 963 413 1255 450,0.1 0.06 0.85 0.45 0.89 0.43 0.59
93 736 780 1063 1208 1358,384 426 852 1272 861 420,0.67 0.79 0.83 0.28 0.42 0.63
213 230 301 351 767 773 916,168 357 159 1104 434 142 771,0.79 0.82 0.62 0.51 0.2 0.71 0.35
99 299 825 881 1501,944 336 849 362 504,0.67 0.68 0.91 0.53 0.6
415 432 502 552 864 968 975 1118,1164 940 1268 275 488 512 1128 1172,0.25 0.78 0.21 0.02 0.58 0.91 0.45 0.43
23 96 339 972 1078,525 633 420 669 656,0.37 0.46 0.88 0.22 0.03
254 637 647 728 853 1163,112 430 1096 756 1164 246,0.64 0.76 0.08 0.97 0.26 0.93
321 891,723 988,0.78 0.65
54 487 697 703 997 1146,878 1040 532 1188 1316 771,0.98 0.26 0.6 0.19 0.47 0.88
52 711 834 1133,434 867 888 616,0.71 0.77 0.65 0.28
235 312 705 888 1267,1065 852 176 264 480,0.37 0.91 0.61 0.78 0.88
87 237 397 1092 1179 1229,356 1072 270 1190 1315 520,0.66 0.4 0.18 0.44 0.76 0.47
646,384,0.41
7 610 773 1016,522 681 284 234,0.93 0.06 0.24 0.46
124 140 211 261 683 827 1160,363 546 816 1352 648 190 552,0.27 0.6 0.52 0.53 0.86 0.87 0.71
9 735 858 1411,726 294 444 380,0.98 0.68 0.84 0.86
132 215 1524,576 237 252,0.7 0.36 0.68
569 602 685 941 1191 1318 1428,948 1070 306 1580 840 372 1158,0.93 0.76 0.48 0.47 0.95 0.76 0.04
406 705 755 855,492 176 894 723,1.0 0.09 0.54 0.6
547 558 1055 1365,693 240 486 159,0.71 0.03 0.39 0.88
1290 1350 1467,642 276 1552,0.18 0.08 0.68
1280,548,0.01
354 398 614 1523,900 320 1134 624,0.57 0.9 0.2 0.61
235 272 345 755 1077 1160,1065 1173 633 894 1472 827,0.97 0.92 0.85 0.86 0.32 0.09
222 312 384 628 1260 1530,1185 426 162 560 268 508,0.67 0.59 0.72 0.57 0.15 0.96
157 407 533 542 644 1376 1459,590 963 484 453 348 504 429,0.84 0.48 0.71 0.58 0.99 0.44 0.37
791 995 1091 1124 1141 1211 1241,645 345 712 324 670 758 894,0.46 0.71 0.36 0.28 0.84 0.37 0.73
79 146 672 1088 1271 1348 1548,660 766 1670 996 1050 1235 134,0.89 0.33 0.4 0.71 0.44 0.14 0.61
431 1240 1296 1406 1489,384 678 501 112 519,0.67 0.9 0.32 0.34 0.51
191 281 348 1290 1473 1550,574 1052 369 963 944 724,0.28 0.85 0.05 0.37 0.28 0.74
128 1470,106 964,0.21 0.84
218 235 305 355 771 777 921,1376 1065 1017 324 224 744 405,0.02 0.62 0.15 0.58 0.05 0.72 0.67
103 303 829 886 1505,380 516 651 622 550,0.03 0.17 0.02 0.07 0.77
420 436 507 557 869 973 979 1123,681 612 759 544 424 536 1134 392,0.68 0.87 0.5 0.84 0.62 0.25 0.39 0.17
28 101 344 976 1082,1173 216 684 351 764,0.03 0.11 0.05 0.99 0.03
550 733 933 943 1149 1459,480 585 1014 988 264 429,0.37 0.97 0.71 0.28 0.29 0.33
325 895,302 260,0.17 0.37
59 492 702 708 1001 1151,560 708 1920 1472 1008 248,0.3 0.63 0.81 0.51 0.88 0.56
56 716 838 1138,142 543 774 976,0.46 0.05 0.31 0.27
239 316 709 892 1271,663 524 113 819 1050,0.39 0.28 0.52 0.65 0.47
92 241 401 1096 1184 1233,249 1164 140 1280 1420 292,0.93 0.13 0.37 0.37 0.99 0.84
53 175 263 729 885 1451,1083 1155 1140 688 413 486,0.87 0.68 0.97 0.57 0.81 0.04
189 293 443 1231 1298 1385 1435,690 320 266 742 401 960 816,0.51 0.55 0.35 0.12 0.98 0.27 0.1
33 370 426 609 852 1401,544 368 300 777 276 476,0.66 0.68 0.23 0.3 0.56 0.22
409,1564,0.59
203 237 825 952,189 1072 849 1164,0.79 0.78 0.44 0.59
234 546 1016 1082 1222,810 834 234 573 490,0.2 0.81 0.66 0.86 0.23
696 1172,216 831,0.62 0.18
88 121 205 874 947 1124 1251,344 1192 813 476 195 243 1432,0.48 0.66 0.18 0.77 0.5 0.03 0.25
242 542 591 691,518 302 351 855,0.7 0.92 0.94 0.88
368 772 988 1298,342 582 1444 268,0.29 0.95 0.74 0.12
1161 1277 1510 1514,1436 508 384 231,0.39 0.98 0.97 0.36
287 418 622 838 1281 1456,624 948 243 774 831 549,0.98 0.53 0.59 0.89 0.05 0.97
44 580 587 924 1356,1172 964 981 810 480,0.95 0.7 0.48 0.48 0.08
245 1050 1067 1193,447 512 522 267,0.81 0.18 0.51 0.97
118 950 1227 1366 1516,444 1041 562 1104 1008,0.33 0.56 0.12 0.93 0.57
395 744 1254,444 1173 1101,0.43 0.55 0.86
709 919 925 1218 1252 1268 1368,227 462 304 549 684 650 1420,0.16 0.93 0.76 0.8 0.65 0.11 0.77
110 176 1118 1301 1378,705 908 878 188 219,0.01 0.86 0.44 0.34 0.33
284,198,0.31
101 157 267 350 849 866 1232 1255,216 885 249 488 495 1038 451 248,0.2 0.25 0.87 0.63 0.09 0.16 0.33 0.47
225 498 781 868 1340,1167 765 1580 716 771,0.12 0.22 0.82 0.2 0.52
302 552 1051,1035 275 156,0.03 0.55 0.03
589 622 705 961 1211 1311 1338,1060 243 264 393 1516 966 888,0.07 0.66 0.91 0.38 0.37 0.64 0.8
329 532 628 778,522 1161 420 544,0.74 0.4 0.24 0.67
87 470 480 996,534 869 844 340,0.66 0.28 0.92 0.71
64 574 603 1246 1273 1389,322 1068 246 462 993 789,0.38 0.35 0.38 0.92 0.62 0.86
201 837 1283 1526,675 648 158 660,0.75 0.61 0.49 0.9
376 1152,454 526,0.94 0.61
363,728,0.42
247 453 808 1335,534 584 278 964,0.76 0.61 0.21 0.89
170 403 625 942 979 1109 1484,1280 620 483 468 1512 165 198,0.16 0.78 0.71 0.42 0.62 0.98 0.48
207 489 577 1043 1199 1492,248 964 786 471 1024 455,0.37 0.72 0.52 0.72 0.7 0.48
1240 1311,903 966,0.87 0.8
281,1052,0.11
319 385 1174 1328 1373 1511,640 312 908 678 720 240,0.88 0.76 0.99 0.52 0.85 0.39
62 166 366 661 1441 1464 1508,764 741 708 702 393 592 1062,0.95 0.8 0.1 0.28 0.86 0.29 0.45
406 599 1088,656 696 996,0.74 0.7 0.53
530 1106 1350,752 455 276,0.73 0.06 0.4
98 347,366 360,0.7 0.59
381 391 907 1556,466 393 1026 795,0.81 0.49 0.45 0.73
72 168 611 1253 1280 1397,1096 504 164 342 411 286,0.7 0.88 0.26 0.67 0.11 0.07
111 334 1193 1436,1044 312 267 276,0.75 0.65 0.48 0.03
286 1062,284 476,0.96 0.68
369 812 1085 1368 1418 1455,919 1336 448 1420 483 1011,0.6 0.3 0.38 0.44 0.58 0.72
313 949 1492,855 753 608,0.12 0.43 0.32
94 240 340 876 883 1176,124 344 189 342 869 513,0.49 0.29 0.23 0.69 0.63 0.58
273 916 1120 1215 1265 1336 1365,654 1028 684 438 216 1017 159,0.62 0.02 0.04 0.16 0.63 0.25 0.87
408 824 1007 1084 1284 1373 1477,660 844 908 274 729 720 1080,0.26 0.77 0.65 0.46 0.57 0.39 0.21
303 361 1170 1230 1337 1384 1420,1290 451 795 231 285 1285 692,0.06 0.27 0.85 0.62 0.37 0.95 0.79
756 852 1295,536 138 555,0.88 0.25 0.74
111,1044,0.79
77 1043 1065 1525,840 471 564 1572,0.46 0.43 0.31 0.84
849 886,495 933,0.39 0.49
129 812,310 1002,0.47 0.59
468 525 1144 1300,522 1140 170 290,0.15 0.54 0.85 0.58
113 362,458 1588,0.72 0.04
395 508 1157 1550,666 758 1008 543,0.05 0.53 0.95 0.42
183 626 882 998 1231,482 258 996 500 1484,0.94 0.36 0.41 0.21 0.07
276 759,772 756,0.27 1.0
81 357 497 807,852 540 561 282,0.98 0.75 0.86 0.56
701 1023 1189,300 656 304,0.65 0.13 0.32
185 674 817 1426 1499,171 953 504 748 417,0.46 0.87 0.91 0.04 0.87
871 881 1087 1397,1016 543 498 429,0.69 0.11 0.29 0.49
55 115 232 465 561,700 195 789 1180 231,0.44 0.99 0.89 0.82 0.74
363 386 436 789 846 956 1039 1538,546 669 306 1086 513 360 243 1360,0.02 0.6 0.35 0.46 0.91 0.33 0.21 0.53
17 300 387 1009 1302,598 1176 482 1188 370,0.75 0.94 0.95 0.42 0.96
1379,768,0.05
104 217 321 470 1259 1325 1463,778 204 723 869 642 286 594,0.4 0.68 0.42 0.23 0.27 0.14 0.46
24 417 1392,865 816 415,0.12 0.84 0.45
61 340 1149 1209 1315 1399,222 189 176 810 534 712,0.89 0.85 0.46 0.91 0.86 0.19
198 880,368 730,0.1 0.91
225 424 537 614 1007 1213,1556 434 795 756 908 586,0.29 0.06 0.12 0.58 0.24 0.13
389 1531,537 102,0.41 0.74
79 123 200 555 1215 1338,396 1920 1060 1152 584 888,0.74 0.37 0.12 0.49 0.94 0.77
120 330 630 779,678 1194 840 362,0.7 0.15 0.05 0.5
68 89 471 998,1424 476 249 500,0.23 0.17 0.31 0.76
162 605 860 977 1210 1247,1140 472 702 227 680 504,0.68 0.43 0.13 0.87 0.87 0.85
202 425 1284 1527,298 640 729 1384,0.35 0.46 0.81 0.93
668 1444,1572 704,0.15 0.3
192 242 745 752 901 1195 1424 1467,455 777 254 254 1196 332 1173 1164,0.68 0.47 0.95 0.25 0.6 0.52 0.93 0.76
467 471 849 1286 1542,1524 249 495 270 285,0.48 0.06 0.43 0.3 0.59
491 1200,1404 561,0.36 0.8
364 797 1007 1013 1306 1356 1456,880 876 908 465 741 640 549,0.02 0.41 0.81 0.15 0.3 0.52 0.44
333 499 915 1098 1154 1175 1375 1464,528 888 861 278 680 346 852 888,0.45 0.24 0.8 0.59 0.29 0.17 0.99 0.51
306 449 782 1304 1321 1391,1584 1107 468 200 747 463,0.91 0.28 0.63 0.88 0.15 0.6
313 919 956 1428,1140 462 240 1158,0.04 0.05 0.4 0.06
247,712,0.18
99 848 1303,708 451 272,0.82 0.71 0.9
322 661 1037,894 702 174,0.58 0.82 0.2
72 515 744 771 1120,1096 382 782 336 513,0.98 0.53 0.89 0.3 0.27
442 745,896 254,0.21 0.54
358 568 774 1084,750 666 735 274,0.89 0.22 0.22 0.24
152 662 691 978 1043 1301 1361 1477,578 459 855 480 628 282 362 810,0.22 0.11 0.84 0.4 0.25 0.49 0.79 0.66
560 760 770 976 1286,480 561 549 234 270,0.26 0.71 0.09 0.33 0.56
75 547 990,136 462 936,0.97 0.85 0.94
274 663 707 917 923 1217 1366,748 528 748 448 432 508 552,0.99 0.38 0.31 0.5 0.98 0.09 0.18
66 281 980 1096 1329,1032 526 516 512 495,0.69 0.06 0.87 0.04 0.73
8 237 441 657 1100,518 536 56 424 72,0.12 0.01 0.8 0.5 0.21
278 384 388 777 1180 1203 1459,672 108 470 372 780 292 143,0.03 0.32 0.64 0.36 0.62 0.99 0.04
573 929 1455 1511,339 53 505 240,0.17 0.39 0.03 0.98
673 852 935 1155,548 138 560 188,0.24 0.15 0.47 0.55
200 577 683 687 1419 1502,530 262 432 291 166 562,0.7 0.26 0.35 0.93 0.38 0.86
610 1319,227 504,0.06 0.24
973 1117,134 728,0.58 0.86
461 887 943 1054 1137,544 360 741 444 177,0.26 0.69 0.9 0.21 0.18
681 1110,459 560,0.57 0.56
355 521 1176 1397 1486,243 363 342 286 178,0.15 0.35 0.54 0.61 0.62
1002,552,0.98
296 662 685 729 945,50 229 153 344 227,0.2 0.22 0.27 0.13 0.71
566 603 676 853 1086 1375 1409 1492,178 123 658 776 505 213 53 152,0.15 0.99 0.91 0.69 0.12 0.21 0.51 0.87
255 1203 1474 1490,64 292 430 280,0.54 0.29 0.75 0.88
423 962 1033 1505,294 187 191 550,0.38 0.72 0.37 0.85
352 1189,134 76,0.86 0.84
53 1288,1083 138,0.89 0.76
387 966 1122,723 498 148,0.81 0.02 0.88
87 383 1026 1163 1186 1229 1342 1446,178 550 426 164 336 130 746 252,0.7 0.36 0.89 0.67 0.24 0.22 0.73 0.31
1212,106,0.82
47 370 547,257 92 462,0.77 0.36 0.54
173 749 992 1542,286 267 358 95,0.51 0.2 0.64 0.53
198 431 1007 1067 1257 1513,184 192 454 174 388 380,0.67 0.55 0.23 0.82 0.87 0.55
1240 1317,451 225,0.12 0.55
605 981 1077 1520,236 254 368 231,0.05 0.9 0.2 0.83
47 513 879 902 946 1156 1162 1456,257 57 222 97 285 182 159 366,0.44 0.99 0.15 0.59 0.96 0.06 0.17 0.82
347 413 1196 1202 1356 1539,120 450 584 1182 480 716,0.93 0.79 0.76 0.87 0.33 0.97
251 488 521 538 637 860,488 259 363 186 86 468,0.24 0.94 0.08 0.98 0.28 0.7
329 442 1484,174 448 132,0.28 0.58 0.41
182 549 1404 1557,184 168 271 240,0.9 0.86 0.83 0.12
170 507 563 746 990 1539,640 252 336 796 312 716,0.15 0.85 0.11 0.98 0.95 0.7
194 211 484 1426,336 272 364 374,0.41 0.34 0.31 0.9
67 138 144 434 500 1442,372 540 51 142 532 328,0.77 0.83 0.41 0.92 0.23 0.13
186 219 236 336 363 972 1444,446 252 181 229 364 669 352,0.5 0.02 0.72 1.0 0.15 0.25 0.21
226 259 342 1012 1085 1261 1361 1388,76 190 150 552 224 120 181 350,0.66 0.43 0.08 0.34 0.25 0.84 0.87 0.52
266 476 539 776 809 826 926 1148,324 364 374 389 244 183 56 807,0.23 0.79 0.35 0.89 0.55 0.47 0.22 0.55
2 102 225 231 524 558 1001,222 490 1167 530 522 80 252,1.0 0.95 0.63 0.24 0.99 0.88 0.73
190 1099 1328 1531,748 972 678 153,0.08 0.33 0.28 0.73
265 325 348 604 853 980 1086 1090,1083 604 369 250 776 516 505 645,0.77 0.43 0.61 0.15 0.65 0.61 0.53 0.7
69 272 489,620 782 964,0.39 0.11 0.67
301 512 578 718 1027,159 1096 458 696 462,0.82 0.49 1.0 0.86 0.75
46 95 605 634 755 1277 1321,688 438 708 505 1192 508 747,0.65 0.76 0.59 0.47 0.91 0.01 0.38
503 703 713 780 919 1229,372 594 1384 852 462 390,0.07 0.08 0.97 0.99 0.83 0.57
344,684,0.71
290 461 923 1160 1193 1210 1532,340 816 432 827 267 680 695,0.81 0.85 0.92 0.44 0.21 0.91 0.39
386 486 609 908 1384,669 342 777 206 514,0.46 0.89 0.47 0.62 0.64
249,476,0.93
419 648 785 808 852 1068 1511,1428 816 911 417 276 422 600,0.36 0.9 0.15 0.61 0.02 0.8 0.82
40 350 362 423 529 539 1359 1405,297 488 1588 441 657 1122 372 178,0.93 0.08 0.71 0.8 0.09 0.17 0.61 0.59
188 1130 1473,774 620 708,0.43 0.36 0.36
864 1400,652 172,0.6 0.6
624 974 1483 1513,738 237 852 380,0.37 0.3 0.05 0.01
139 185 295 378 894 1260 1327 1543,358 171 624 333 113 268 1152 496,0.68 0.2 0.36 0.04 0.79 0.2 0.13 0.05
272 914 941 958 1291 1387,782 738 1580 272 690 1047,0.91 0.49 0.39 0.74 0.83 0.26
311 382 854 998 1330 1553,430 324 640 375 266 558,0.37 0.85 0.57 0.79 0.71 0.62
419 862 1118 1134 1417 1467 1504,1428 819 878 728 722 1552 318,1.0 0.6 0.76 0.8 0.55 0.99 0.84
593 731 1147 1296,748 1524 426 753,0.31 0.9 0.12 0.09
111 743 937 1259 1319 1426 1436,1392 384 1444 642 504 748 368,0.84 0.91 0.67 0.99 0.39 0.97 0.47
884,780,0.42
75 724 907 1107 1117 1323,272 1176 1026 540 1456 882,0.58 0.5 0.04 0.25 0.68 0.97
499 1069 1381,888 227 868,0.65 0.75 0.13
233 599 1036 1082 1192,738 927 856 764 294,0.82 0.22 0.44 0.71 0.51
230 889 1012 1312 1432,357 483 1104 459 360,0.03 0.75 0.18 0.2 0.33
288 604 1237 1507,1144 500 1375 919,0.13 0.89 0.02 0.95
265 415 575 1204 1270 1357 1407,1083 1164 1124 648 1345 1084 315,0.06 0.14 0.47 0.48 0.02 0.82 0.21
186 712 768 789 878 951 1194,892 774 1104 724 374 772 843,0.64 0.87 0.28 0.94 0.15 0.27 0.17
545 579 662 918 1168 1267 1294,580 249 690 594 1146 800 688,0.47 0.98 0.33 0.8 0.2 0.56 0.48
294 444 1552,396 518 810,0.91 0.67 0.36
177 504 793,498 552 570,0.09 0.89 0.39
545 944 1267 1433 1443,434 352 480 526 434,0.25 0.88 0.99 0.89 0.72
374 584 884 934 1034,596 777 1040 330 873,0.46 0.32 0.52 0.29 0.59
749 1418 1491,801 483 516,0.53 0.5 0.09
87 320 1468 1529,356 1304 504 981,0.21 0.3 0.16 0.23
240 629 673 883 889 1332,430 220 1370 869 805 276,0.86 0.22 0.22 0.78 0.79 0.86
140 800 923 929 1083 1266,546 977 288 159 150 354,0.39 0.13 0.19 0.73 0.71 0.15
442 671 808 831 875 1091 1534,448 878 417 474 1032 712 1112,0.14 0.14 0.48 0.4 0.88 0.5 0.06
1382,339,0.21
190 446 795 1305,748 1125 288 227,0.43 0.58 0.63 0.21
19 123 323 618 1398 1421 1465,1595 1152 1050 420 1260 568 836,0.08 0.76 0.25 0.02 0.35 0.41 0.82
71 753,552 944,0.27 0.51
6 119 196 589 772 795 1015,345 684 741 795 582 288 438,0.2 0.46 0.75 0.44 0.18 0.61 0.62
69 739 812 988 1115 1544,1240 714 1336 1083 750 292,0.61 0.67 0.6 0.09 0.78 0.53
487 803 974,1040 1404 237,0.14 0.69 0.29
714 1523,540 468,0.98 0.79
345 368 1110 1499 1520,844 342 840 417 462,0.79 0.34 0.77 0.18 0.24
29 185 751 911 967 1033,712 227 876 394 244 382,0.86 0.35 0.37 0.13 0.19 0.67
210 913,616 356,0.91 0.22
153 453 486 929 1075 1175,816 1460 227 212 462 692,0.23 0.85 0.78 0.18 0.84 0.16
590 623 640 739,579 360 777 952,0.84 0.13 0.63 0.33
523 723 733 939 1249,516 204 585 210 444,0.85 0.52 0.21 0.2 0.93
535,1420,0.76
997 1467,986 1552,0.42 0.98
282 492 498 652 1407,279 531 765 501 189,0.95 0.49 0.05 0.02 0.67
436,459,0.88
373 789 972 1028 1049 1248 1338,1104 1086 669 672 786 999 666,0.08 0.21 0.09 0.89 0.23 0.8 0.59
179 422 655 878 1232 1398 1481,825 1101 924 561 339 944 386,0.08 0.37 0.54 0.37 0.4 0.78 0.82
404,500,0.89
231 287 308 470 907 1263,530 468 654 869 1026 166,0.45 0.05 1.0 0.57 0.31 0.44
472,246,0.9
534 911,1014 591,0.39 0.21
68 262 584 750,1068 536 777 390,0.62 0.25 0.32 0.53
1501,756,0.73
526,675,0.99
137 409 509 680 742 1352 1378,1110 1564 570 441 741 795 219,0.57 0.56 0.37 0.48 0.38 0.81 0.18
916 960,771 645,0.56 0.5
200 500 533 550 650 677 1548,795 798 484 720 620 888 134,0.6 0.2 0.54 0.89 0.32 0.59 0.67
240 1016,172 351,0.47 0.74
32 475 1118 1161 1444 1494,858 783 878 1436 704 504,0.65 0.27 0.06 0.16 0.41 0.27
73 1155,932 752,0.82 0.56
67 139 955,744 537 1149,0.16 0.37 0.31
116 313 1011 1361 1437,1588 855 1268 543 522,0.18 0.32 0.17 0.73 0.93
429,604,0.81
479,860,0.94
712 916 1228 1332,1548 514 657 206,0.39 0.43 0.29 0.6
1219 1541,472 590,0.47 0.86
220 276 460 1252 1441,765 1544 322 911 655,0.93 0.1 0.12 0.15 0.87
751 801 1077 1217 1366 1527,657 1060 1104 381 552 692,0.57 0.71 0.13 0.65 0.31 0.14
8 218 262 545 684 1254,777 1032 401 580 272 1101,0.87 0.52 0.95 0.71 0.05 0.71
398 1341,240 1035,0.63 0.52
975 1101 1497 1530,752 1048 1645 508,0.26 0.76 0.12 0.66
