Results of ITUFP Algorithm
==================================================
Top-300 High-Utility Itemsets:
==================================================
1. Itemset: 75,72 | Total Utility: 5806464.00 | Expected Support: 16735.94
68. Itemset: 109,97 | Total Utility: 2252163.00 | Expected Support: 13085.07
69. Itemset: 109,127 | Total Utility: 2228526.00 | Expected Support: 17262.26
70. Itemset: 109,55 | Total Utility: 2216553.00 | Expected Support: 17063.95
71. Itemset: 127,19 | Total Utility: 2213990.00 | Expected Support: 17073.56
72. Itemset: 91,37 | Total Utility: 2211795.00 | Expected Support: 17143.46
73. Itemset: 109,88 | Total Utility: 2211679.00 | Expected Support: 17203.95
74. Itemset: 109,106 | Total Utility: 2208952.00 | Expected Support: 17079.28
75. Itemset: 109,124 | Total Utility: 2203594.00 | Expected Support: 17028.91
76. Itemset: 88,19 | Total Utility: 2197642.00 | Expected Support: 17009.23
77. Itemset: 91,85 | Total Utility: 2161581.00 | Expected Support: 16677.96
78. Itemset: 91,16 | Total Utility: 2153847.00 | Expected Support: 16664.18
79. Itemset: 37,85 | Total Utility: 2145804.00 | Expected Support: 16600.07
80. Itemset: 91,79 | Total Utility: 2142080.00 | Expected Support: 14244.16
81. Itemset: 37,16 | Total Utility: 2141808.00 | Expected Support: 16601.88
82. Itemset: 109,121 | Total Utility: 2124655.00 | Expected Support: 16398.35
83. Itemset: 91,10 | Total Utility: 2124219.00 | Expected Support: 14117.55
84. Itemset: 127,115 | Total Utility: 2121522.00 | Expected Support: 12298.69
85. Itemset: 88,115 | Total Utility: 2095706.00 | Expected Support: 12156.09
86. Itemset: 91,69 | Total Utility: 2080737.00 | Expected Support: 16103.59
87. Itemset: 37,69 | Total Utility: 2068773.00 | Expected Support: 15974.22
88. Itemset: 88,82 | Total Utility: 2055438.00 | Expected Support: 15961.04
89. Itemset: 127,82 | Total Utility: 2051598.00 | Expected Support: 15919.84
90. Itemset: 91,76 | Total Utility: 2025159.00 | Expected Support: 10431.13
91. Itemset: 91,31 | Total Utility: 2017029.00 | Expected Support: 15631.28
92. Itemset: 91,49 | Total Utility: 2001213.00 | Expected Support: 15505.42
93. Itemset: 91,100 | Total Utility: 1991469.00 | Expected Support: 15429.60
94. Itemset: 109,118 | Total Utility: 1944170.00 | Expected Support: 15025.71
95. Itemset: 109,66 | Total Utility: 1911019.00 | Expected Support: 14802.20
96. Itemset: 109,7 | Total Utility: 1905602.00 | Expected Support: 11118.70
97. Itemset: 109 | Total Utility: 1860640.00 | Expected Support: 34192.70
98. Itemset: 115 | Total Utility: 1857562.00 | Expected Support: 24299.29
99. Itemset: 19 | Total Utility: 1848630.00 | Expected Support: 33810.67
100. Itemset: 127,34 | Total Utility: 1792858.00 | Expected Support: 16602.20
101. Itemset: 91,28 | Total Utility: 1790565.00 | Expected Support: 13944.85
102. Itemset: 91,103 | Total Utility: 1780314.00 | Expected Support: 16571.51
103. Itemset: 88,34 | Total Utility: 1779551.00 | Expected Support: 16498.63
104. Itemset: 37,103 | Total Utility: 1770008.00 | Expected Support: 16477.42
105. Itemset: 127,46 | Total Utility: 1740094.00 | Expected Support: 13475.90
106. Itemset: 88,46 | Total Utility: 1723392.00 | Expected Support: 13338.84
107. Itemset: 82 | Total Utility: 1711635.00 | Expected Support: 31528.47
108. Itemset: 127,13 | Total Utility: 1688781.00 | Expected Support: 15713.68
109. Itemset: 91,97 | Total Utility: 1686384.00 | Expected Support: 13050.90
110. Itemset: 88,13 | Total Utility: 1674175.00 | Expected Support: 15579.78
111. Itemset: 127,76 | Total Utility: 1573196.00 | Expected Support: 10439.70
112. Itemset: 109,24 | Total Utility: 1563267.00 | Expected Support: 6619.10
113. Itemset: 109,63 | Total Utility: 1550498.00 | Expected Support: 11993.93
114. Itemset: 88,79 | Total Utility: 1531312.00 | Expected Support: 14238.85
115. Itemset: 127,79 | Total Utility: 1527827.00 | Expected Support: 14176.59
116. Itemset: 127,10 | Total Utility: 1516394.00 | Expected Support: 14052.03
117. Itemset: 88,10 | Total Utility: 1502559.00 | Expected Support: 13977.80
118. Itemset: 91,127 | Total Utility: 1482541.00 | Expected Support: 17239.93
119. Itemset: 91,55 | Total Utility: 1475337.00 | Expected Support: 17064.40
120. Itemset: 127,37 | Total Utility: 1474668.00 | Expected Support: 17113.96
121. Itemset: 91,88 | Total Utility: 1473677.00 | Expected Support: 17177.09
122. Itemset: 109,1 | Total Utility: 1469839.00 | Expected Support: 11343.34
123. Itemset: 91,106 | Total Utility: 1468019.00 | Expected Support: 17079.92
124. Itemset: 37,55 | Total Utility: 1467295.00 | Expected Support: 16923.66
125. Itemset: 91,124 | Total Utility: 1466565.00 | Expected Support: 17071.03
126. Itemset: 88,37 | Total Utility: 1463990.00 | Expected Support: 17065.05
127. Itemset: 37,106 | Total Utility: 1459843.00 | Expected Support: 16963.04
128. Itemset: 37,124 | Total Utility: 1458837.00 | Expected Support: 16959.75
129. Itemset: 46 | Total Utility: 1452030.00 | Expected Support: 26681.53
130. Itemset: 109,44 | Total Utility: 1448170.00 | Expected Support: 9659.64
131. Itemset: 88,85 | Total Utility: 1442295.00 | Expected Support: 16765.12
132. Itemset: 127,85 | Total Utility: 1439036.00 | Expected Support: 16705.23
133. Itemset: 34 | Total Utility: 1437060.00 | Expected Support: 32859.61
134. Itemset: 127,16 | Total Utility: 1436565.00 | Expected Support: 16678.75
135. Itemset: 91,7 | Total Utility: 1430598.00 | Expected Support: 11121.10
136. Itemset: 88,16 | Total Utility: 1425748.00 | Expected Support: 16559.60
137. Itemset: 91,121 | Total Utility: 1412774.00 | Expected Support: 16356.97
138. Itemset: 37,121 | Total Utility: 1404550.00 | Expected Support: 16296.54
139. Itemset: 109,58 | Total Utility: 1399228.00 | Expected Support: 4992.18
140. Itemset: 127,69 | Total Utility: 1386917.00 | Expected Support: 16071.99
141. Itemset: 88,69 | Total Utility: 1376942.00 | Expected Support: 15960.35
142. Itemset: 109,25 | Total Utility: 1362794.00 | Expected Support: 10475.09
143. Itemset: 13 | Total Utility: 1352416.00 | Expected Support: 31099.35
144. Itemset: 76 | Total Utility: 1351788.00 | Expected Support: 20622.92
145. Itemset: 127,31 | Total Utility: 1345016.00 | Expected Support: 15572.40
146. Itemset: 88,31 | Total Utility: 1334416.00 | Expected Support: 15513.09
147. Itemset: 127,49 | Total Utility: 1333176.00 | Expected Support: 15485.72
148. Itemset: 127,100 | Total Utility: 1326994.00 | Expected Support: 15400.59
149. Itemset: 88,49 | Total Utility: 1322169.00 | Expected Support: 15378.46
150. Itemset: 109,94 | Total Utility: 1317538.00 | Expected Support: 8776.57
151. Itemset: 88,100 | Total Utility: 1315677.00 | Expected Support: 15292.17
152. Itemset: 91,118 | Total Utility: 1292988.00 | Expected Support: 15013.93
153. Itemset: 91,24 | Total Utility: 1279647.00 | Expected Support: 6605.78
154. Itemset: 91,66 | Total Utility: 1269988.00 | Expected Support: 14759.88
155. Itemset: 79 | Total Utility: 1225064.00 | Expected Support: 28118.92
156. Itemset: 10 | Total Utility: 1214616.00 | Expected Support: 27832.39
157. Itemset: 127,28 | Total Utility: 1195689.00 | Expected Support: 13889.28
158. Itemset: 88,28 | Total Utility: 1185022.00 | Expected Support: 13756.19
159. Itemset: 91,58 | Total Utility: 1183885.00 | Expected Support: 4995.23
160. Itemset: 109,41 | Total Utility: 1154668.00 | Expected Support: 4906.21
161. Itemset: 109,114 | Total Utility: 1148774.00 | Expected Support: 4864.45
162. Itemset: 127,97 | Total Utility: 1122515.00 | Expected Support: 13017.31
163. Itemset: 91 | Total Utility: 1113693.00 | Expected Support: 34171.54
164. Itemset: 88,97 | Total Utility: 1111441.00 | Expected Support: 12969.75
165. Itemset: 37 | Total Utility: 1108080.00 | Expected Support: 33927.62
166. Itemset: 85 | Total Utility: 1081311.00 | Expected Support: 33056.84
167. Itemset: 16 | Total Utility: 1079964.00 | Expected Support: 33002.48
168. Itemset: 127,103 | Total Utility: 1067123.00 | Expected Support: 16569.59
169. Itemset: 109,40 | Total Utility: 1062639.00 | Expected Support: 8203.10
170. Itemset: 88,103 | Total Utility: 1059420.00 | Expected Support: 16458.10
171. Itemset: 69 | Total Utility: 1042176.00 | Expected Support: 31836.67
172. Itemset: 91,44 | Total Utility: 1033188.00 | Expected Support: 9710.17
173. Itemset: 91,63 | Total Utility: 1031259.00 | Expected Support: 11961.95
174. Itemset: 31 | Total Utility: 1010898.00 | Expected Support: 30914.76
175. Itemset: 49 | Total Utility: 1001199.00 | Expected Support: 30650.41
176. Itemset: 100 | Total Utility: 997092.00 | Expected Support: 30456.21
177. Itemset: 127,24 | Total Utility: 996282.00 | Expected Support: 6615.41
178. Itemset: 109,23 | Total Utility: 986538.00 | Expected Support: 5120.41
179. Itemset: 109,112 | Total Utility: 977823.00 | Expected Support: 7560.53
180. Itemset: 91,1 | Total Utility: 977813.00 | Expected Support: 11341.89
181. Itemset: 109,22 | Total Utility: 960043.00 | Expected Support: 5496.42
182. Itemset: 109,60 | Total Utility: 957915.00 | Expected Support: 7337.86
183. Itemset: 127,7 | Total Utility: 952998.00 | Expected Support: 11097.41
184. Itemset: 91,41 | Total Utility: 943053.00 | Expected Support: 4918.47
185. Itemset: 91,94 | Total Utility: 939766.00 | Expected Support: 8704.84
186. Itemset: 91,114 | Total Utility: 936504.00 | Expected Support: 4820.80
187. Itemset: 91,25 | Total Utility: 904103.00 | Expected Support: 10486.86
188. Itemset: 28 | Total Utility: 899106.00 | Expected Support: 27540.49
189. Itemset: 58 | Total Utility: 862440.00 | Expected Support: 9836.25
190. Itemset: 24 | Total Utility: 855450.00 | Expected Support: 13095.59
191. Itemset: 97 | Total Utility: 842943.00 | Expected Support: 25828.14
192. Itemset: 109,77 | Total Utility: 840653.00 | Expected Support: 4891.62
193. Itemset: 109,59 | Total Utility: 839542.00 | Expected Support: 4914.69
194. Itemset: 109,113 | Total Utility: 833142.00 | Expected Support: 4848.30
195. Itemset: 109,4 | Total Utility: 820998.00 | Expected Support: 6370.70
196. Itemset: 109,96 | Total Utility: 796500.00 | Expected Support: 3674.29
197. Itemset: 109,5 | Total Utility: 785994.00 | Expected Support: 5223.65
198. Itemset: 91,23 | Total Utility: 767198.00 | Expected Support: 5099.50
199. Itemset: 127,55 | Total Utility: 737655.00 | Expected Support: 17056.58
200. Itemset: 127,88 | Total Utility: 735966.00 | Expected Support: 17177.96
201. Itemset: 109,6 | Total Utility: 735918.00 | Expected Support: 5677.56
202. Itemset: 127,124 | Total Utility: 734003.00 | Expected Support: 17057.95
203. Itemset: 127,106 | Total Utility: 733071.00 | Expected Support: 17096.05
204. Itemset: 88,55 | Total Utility: 732977.00 | Expected Support: 16901.06
205. Itemset: 109,95 | Total Utility: 730674.00 | Expected Support: 4810.93
206. Itemset: 88,124 | Total Utility: 728394.00 | Expected Support: 16911.89
207. Itemset: 88,106 | Total Utility: 728391.00 | Expected Support: 16951.72
208. Itemset: 7 | Total Utility: 716421.00 | Expected Support: 22007.23
209. Itemset: 91,22 | Total Utility: 716016.00 | Expected Support: 5527.73
210. Itemset: 103 | Total Utility: 712378.00 | Expected Support: 32807.90
211. Itemset: 127,121 | Total Utility: 706694.00 | Expected Support: 16409.06
212. Itemset: 91,40 | Total Utility: 705717.00 | Expected Support: 8213.18
213. Itemset: 88,121 | Total Utility: 700862.00 | Expected Support: 16274.07
214. Itemset: 109,26 | Total Utility: 654661.00 | Expected Support: 3428.49
215. Itemset: 91,112 | Total Utility: 651113.00 | Expected Support: 7552.68
216. Itemset: 127,118 | Total Utility: 646007.00 | Expected Support: 15030.86
217. Itemset: 109,3 | Total Utility: 640703.00 | Expected Support: 4262.92
218. Itemset: 88,118 | Total Utility: 640499.00 | Expected Support: 14891.49
219. Itemset: 91,96 | Total Utility: 638539.00 | Expected Support: 3656.17
220. Itemset: 91,60 | Total Utility: 637224.00 | Expected Support: 7325.30
221. Itemset: 127,66 | Total Utility: 633735.00 | Expected Support: 14725.19
222. Itemset: 88,66 | Total Utility: 629233.00 | Expected Support: 14680.66
223. Itemset: 41 | Total Utility: 628758.00 | Expected Support: 9725.31
224. Itemset: 91,59 | Total Utility: 628611.00 | Expected Support: 4887.39
225. Itemset: 91,77 | Total Utility: 626460.00 | Expected Support: 4893.19
226. Itemset: 109,42 | Total Utility: 626137.00 | Expected Support: 4155.00
227. Itemset: 91,113 | Total Utility: 625197.00 | Expected Support: 4849.59
228. Itemset: 114 | Total Utility: 624594.00 | Expected Support: 9496.22
229. Itemset: 109,61 | Total Utility: 621297.00 | Expected Support: 2618.49
230. Itemset: 127,44 | Total Utility: 618944.00 | Expected Support: 9665.31
231. Itemset: 109,8 | Total Utility: 600372.00 | Expected Support: 3129.19
232. Itemset: 109,116 | Total Utility: 598084.00 | Expected Support: 2564.90
233. Itemset: 109,43 | Total Utility: 596765.00 | Expected Support: 3918.11
234. Itemset: 127,94 | Total Utility: 563229.00 | Expected Support: 8709.91
235. Itemset: 91,5 | Total Utility: 559632.00 | Expected Support: 5168.27
236. Itemset: 91,4 | Total Utility: 547604.00 | Expected Support: 6390.70
237. Itemset: 91,95 | Total Utility: 519686.00 | Expected Support: 4874.84
238. Itemset: 127,63 | Total Utility: 514974.00 | Expected Support: 11953.82
239. Itemset: 91,26 | Total Utility: 511107.00 | Expected Support: 3446.91
240. Itemset: 88,63 | Total Utility: 510269.00 | Expected Support: 11833.39
241. Itemset: 91,61 | Total Utility: 506997.00 | Expected Support: 2654.22
242. Itemset: 91,6 | Total Utility: 488654.00 | Expected Support: 5714.74
243. Itemset: 127,1 | Total Utility: 488224.00 | Expected Support: 11344.77
244. Itemset: 91,116 | Total Utility: 487773.00 | Expected Support: 2563.13
245. Itemset: 109,45 | Total Utility: 477611.00 | Expected Support: 3675.69
246. Itemset: 91,8 | Total Utility: 465648.00 | Expected Support: 3068.95
247. Itemset: 91,3 | Total Utility: 457166.00 | Expected Support: 4252.40
248. Itemset: 127,25 | Total Utility: 452889.00 | Expected Support: 10455.40
249. Itemset: 109,98 | Total Utility: 451095.00 | Expected Support: 2120.27
250. Itemset: 91,42 | Total Utility: 447792.00 | Expected Support: 4125.83
251. Itemset: 23 | Total Utility: 437068.00 | Expected Support: 10071.03
252. Itemset: 109,27 | Total Utility: 434296.00 | Expected Support: 3333.13
253. Itemset: 91,43 | Total Utility: 424376.00 | Expected Support: 3948.11
254. Itemset: 109,47 | Total Utility: 422765.00 | Expected Support: 1992.91
255. Itemset: 109,117 | Total Utility: 421650.00 | Expected Support: 2461.20
256. Itemset: 44 | Total Utility: 413494.00 | Expected Support: 19119.61
257. Itemset: 109,99 | Total Utility: 404766.00 | Expected Support: 2115.06
258. Itemset: 109,9 | Total Utility: 403948.00 | Expected Support: 3125.09
259. Itemset: 96 | Total Utility: 399610.00 | Expected Support: 7281.43
260. Itemset: 109,48 | Total Utility: 381895.00 | Expected Support: 1760.77
261. Itemset: 94 | Total Utility: 376458.00 | Expected Support: 17261.28
262. Itemset: 127 | Total Utility: 370823.00 | Expected Support: 34137.77
263. Itemset: 55 | Total Utility: 370138.00 | Expected Support: 33703.14
264. Itemset: 88 | Total Utility: 369101.00 | Expected Support: 33936.08
265. Itemset: 124 | Total Utility: 367428.00 | Expected Support: 33685.70
266. Itemset: 106 | Total Utility: 366817.00 | Expected Support: 33764.24
267. Itemset: 91,98 | Total Utility: 360711.00 | Expected Support: 2114.02
268. Itemset: 22 | Total Utility: 358644.00 | Expected Support: 10933.31
269. Itemset: 121 | Total Utility: 353332.00 | Expected Support: 32411.99
270. Itemset: 127,40 | Total Utility: 352087.00 | Expected Support: 8158.49
271. Itemset: 109,62 | Total Utility: 341204.00 | Expected Support: 2635.71
272. Itemset: 91,47 | Total Utility: 340732.00 | Expected Support: 1998.32
273. Itemset: 61 | Total Utility: 338382.00 | Expected Support: 5205.89
274. Itemset: 109,78 | Total Utility: 336491.00 | Expected Support: 1936.02
275. Itemset: 127,112 | Total Utility: 327111.00 | Expected Support: 7576.27
276. Itemset: 116 | Total Utility: 324564.00 | Expected Support: 5024.49
277. Itemset: 118 | Total Utility: 323049.00 | Expected Support: 29662.21
278. Itemset: 91,45 | Total Utility: 318019.00 | Expected Support: 3690.83
279. Itemset: 127,60 | Total Utility: 317879.00 | Expected Support: 7366.11
280. Itemset: 66 | Total Utility: 316826.00 | Expected Support: 29200.52
281. Itemset: 91,117 | Total Utility: 315495.00 | Expected Support: 2458.68
282. Itemset: 59 | Total Utility: 315171.00 | Expected Support: 9615.10
283. Itemset: 91,99 | Total Utility: 314744.00 | Expected Support: 2125.13
284. Itemset: 77 | Total Utility: 314379.00 | Expected Support: 9659.25
285. Itemset: 113 | Total Utility: 311916.00 | Expected Support: 9585.05
286. Itemset: 91,48 | Total Utility: 303623.00 | Expected Support: 1773.60
287. Itemset: 26 | Total Utility: 292408.00 | Expected Support: 6728.47
288. Itemset: 91,27 | Total Utility: 289603.00 | Expected Support: 3307.85
289. Itemset: 127,4 | Total Utility: 274662.00 | Expected Support: 6415.44
290. Itemset: 8 | Total Utility: 267456.00 | Expected Support: 6105.10
291. Itemset: 91,9 | Total Utility: 266788.00 | Expected Support: 3137.96
292. Itemset: 109,29 | Total Utility: 266237.00 | Expected Support: 1764.42
293. Itemset: 63 | Total Utility: 257910.00 | Expected Support: 23677.85
294. Itemset: 91,78 | Total Utility: 252900.00 | Expected Support: 1920.30
295. Itemset: 109,81 | Total Utility: 250386.00 | Expected Support: 1639.59
296. Itemset: 1 | Total Utility: 244437.00 | Expected Support: 22465.93
297. Itemset: 109,30 | Total Utility: 243897.00 | Expected Support: 1622.55
298. Itemset: 109,12 | Total Utility: 229758.00 | Expected Support: 1540.01
299. Itemset: 91,62 | Total Utility: 227823.00 | Expected Support: 2640.14
300. Itemset: 25 | Total Utility: 227405.00 | Expected Support: 20745.43
==================================================
Execution Time: 145.04 seconds
Memory Usage: 566.67 MB
==================================================
