Top-K High Utility Patterns:
1. Itemset: [1373], Total Utility: 25560.0
112. Itemset: [1117], Total Utility: 14560.0
113. Itemset: [1296], Total Utility: 14548.0
114. Itemset: [418], Total Utility: 14536.0
115. Itemset: [744], Total Utility: 14467.0
116. Itemset: [281], Total Utility: 14465.0
117. Itemset: [218], Total Utility: 14448.0
118. Itemset: [435], Total Utility: 14433.0
119. Itemset: [695], Total Utility: 14432.0
120. Itemset: [1540], Total Utility: 14432.0
121. Itemset: [1281], Total Utility: 14404.0
122. Itemset: [1211], Total Utility: 14402.0
123. Itemset: [1278], Total Utility: 14382.0
124. Itemset: [1160], Total Utility: 14344.0
125. Itemset: [1348], Total Utility: 14326.0
126. Itemset: [1251], Total Utility: 14320.0
127. Itemset: [1063], Total Utility: 14303.0
128. Itemset: [383], Total Utility: 14300.0
129. Itemset: [975], Total Utility: 14288.0
130. Itemset: [811], Total Utility: 14256.0
131. Itemset: [305], Total Utility: 14238.0
132. Itemset: [50], Total Utility: 14220.0
133. Itemset: [896], Total Utility: 14199.0
134. Itemset: [20], Total Utility: 14178.0
135. Itemset: [1555], Total Utility: 14160.0
136. Itemset: [521], Total Utility: 14155.0
137. Itemset: [153], Total Utility: 14144.0
138. Itemset: [554], Total Utility: 14130.0
139. Itemset: [28], Total Utility: 14076.0
140. Itemset: [223], Total Utility: 14036.0
141. Itemset: [863], Total Utility: 14006.0
142. Itemset: [609], Total Utility: 13986.0
143. Itemset: [559], Total Utility: 13983.0
144. Itemset: [556], Total Utility: 13975.0
145. Itemset: [946], Total Utility: 13965.0
146. Itemset: [1104], Total Utility: 13965.0
147. Itemset: [703], Total Utility: 13959.0
148. Itemset: [416], Total Utility: 13944.0
149. Itemset: [1099], Total Utility: 13932.0
150. Itemset: [136], Total Utility: 13932.0
151. Itemset: [1269], Total Utility: 13895.0
152. Itemset: [1146], Total Utility: 13878.0
153. Itemset: [1374], Total Utility: 13872.0
154. Itemset: [713], Total Utility: 13840.0
155. Itemset: [847], Total Utility: 13824.0
156. Itemset: [16], Total Utility: 13788.0
157. Itemset: [575], Total Utility: 13769.0
158. Itemset: [1237], Total Utility: 13750.0
159. Itemset: [602], Total Utility: 13696.0
160. Itemset: [1070], Total Utility: 13689.0
161. Itemset: [986], Total Utility: 13650.0
162. Itemset: [991], Total Utility: 13650.0
163. Itemset: [304], Total Utility: 13607.0
164. Itemset: [950], Total Utility: 13533.0
165. Itemset: [1197], Total Utility: 13502.0
166. Itemset: [656], Total Utility: 13475.0
167. Itemset: [1019], Total Utility: 13464.0
168. Itemset: [1473], Total Utility: 13452.0
169. Itemset: [1430], Total Utility: 13440.0
170. Itemset: [1529], Total Utility: 13407.0
171. Itemset: [756], Total Utility: 13393.0
172. Itemset: [141], Total Utility: 13362.0
173. Itemset: [1417], Total Utility: 13357.0
174. Itemset: [803], Total Utility: 13338.0
175. Itemset: [155], Total Utility: 13335.0
176. Itemset: [717], Total Utility: 13328.0
177. Itemset: [1119], Total Utility: 13314.0
178. Itemset: [724], Total Utility: 13230.0
179. Itemset: [640], Total Utility: 13209.0
180. Itemset: [1118], Total Utility: 13178.0
181. Itemset: [1007], Total Utility: 13166.0
182. Itemset: [358], Total Utility: 13125.0
183. Itemset: [842], Total Utility: 13120.0
184. Itemset: [322], Total Utility: 13112.0
185. Itemset: [1340], Total Utility: 13107.0
186. Itemset: [326], Total Utility: 13091.0
187. Itemset: [883], Total Utility: 13041.0
188. Itemset: [105], Total Utility: 13020.0
189. Itemset: [489], Total Utility: 13014.0
190. Itemset: [387], Total Utility: 13014.0
191. Itemset: [1168], Total Utility: 12988.0
192. Itemset: [1525], Total Utility: 12969.0
193. Itemset: [555], Total Utility: 12960.0
194. Itemset: [922], Total Utility: 12950.0
195. Itemset: [1538], Total Utility: 12912.0
196. Itemset: [54], Total Utility: 12889.0
197. Itemset: [1001], Total Utility: 12852.0
198. Itemset: [933], Total Utility: 12844.0
199. Itemset: [891], Total Utility: 12844.0
200. Itemset: [261], Total Utility: 12844.0
201. Itemset: [676], Total Utility: 12824.0
202. Itemset: [853], Total Utility: 12804.0
203. Itemset: [890], Total Utility: 12789.0
204. Itemset: [1416], Total Utility: 12788.0
205. Itemset: [1073], Total Utility: 12765.0
206. Itemset: [1472], Total Utility: 12760.0
207. Itemset: [606], Total Utility: 12720.0
208. Itemset: [800], Total Utility: 12706.0
209. Itemset: [8], Total Utility: 12691.0
210. Itemset: [1165], Total Utility: 12690.0
211. Itemset: [234], Total Utility: 12690.0
212. Itemset: [789], Total Utility: 12670.0
213. Itemset: [568], Total Utility: 12654.0
214. Itemset: [1248], Total Utility: 12653.0
215. Itemset: [1291], Total Utility: 12642.0
216. Itemset: [1308], Total Utility: 12642.0
217. Itemset: [1547], Total Utility: 12614.0
218. Itemset: [519], Total Utility: 12606.0
219. Itemset: [1384], Total Utility: 12593.0
220. Itemset: [1324], Total Utility: 12578.0
221. Itemset: [678], Total Utility: 12546.0
222. Itemset: [580], Total Utility: 12532.0
223. Itemset: [394], Total Utility: 12520.0
224. Itemset: [659], Total Utility: 12519.0
225. Itemset: [599], Total Utility: 12519.0
226. Itemset: [1241], Total Utility: 12516.0
227. Itemset: [708], Total Utility: 12512.0
228. Itemset: [193], Total Utility: 12510.0
229. Itemset: [884], Total Utility: 12480.0
230. Itemset: [825], Total Utility: 12452.0
231. Itemset: [1467], Total Utility: 12416.0
232. Itemset: [1390], Total Utility: 12415.0
233. Itemset: [493], Total Utility: 12408.0
234. Itemset: [63], Total Utility: 12390.0
235. Itemset: [484], Total Utility: 12376.0
236. Itemset: [742], Total Utility: 12350.0
237. Itemset: [1208], Total Utility: 12341.0
238. Itemset: [915], Total Utility: 12341.0
239. Itemset: [1213], Total Utility: 12301.0
240. Itemset: [44], Total Utility: 12298.0
241. Itemset: [321], Total Utility: 12291.0
242. Itemset: [1271], Total Utility: 12250.0
243. Itemset: [882], Total Utility: 12201.0
244. Itemset: [407], Total Utility: 12198.0
245. Itemset: [467], Total Utility: 12192.0
246. Itemset: [200], Total Utility: 12190.0
247. Itemset: [414], Total Utility: 12188.0
248. Itemset: [405], Total Utility: 12177.0
249. Itemset: [584], Total Utility: 12173.0
250. Itemset: [1272], Total Utility: 12152.0
251. Itemset: [1313], Total Utility: 12152.0
252. Itemset: [82], Total Utility: 12150.0
253. Itemset: [373], Total Utility: 12138.0
254. Itemset: [68], Total Utility: 12104.0
255. Itemset: [275], Total Utility: 12099.0
256. Itemset: [512], Total Utility: 12056.0
257. Itemset: [191], Total Utility: 12054.0
258. Itemset: [774], Total Utility: 12005.0
259. Itemset: [1206], Total Utility: 12004.0
260. Itemset: [963], Total Utility: 12000.0
261. Itemset: [1264], Total Utility: 11985.0
262. Itemset: [1428], Total Utility: 11966.0
263. Itemset: [149], Total Utility: 11952.0
264. Itemset: [1047], Total Utility: 11951.0
265. Itemset: [1342], Total Utility: 11936.0
266. Itemset: [952], Total Utility: 11931.0
267. Itemset: [1184], Total Utility: 11928.0
268. Itemset: [121], Total Utility: 11920.0
269. Itemset: [452], Total Utility: 11904.0
270. Itemset: [1074], Total Utility: 11894.0
271. Itemset: [634], Total Utility: 11881.0
272. Itemset: [726], Total Utility: 11877.0
273. Itemset: [219], Total Utility: 11844.0
274. Itemset: [1279], Total Utility: 11840.0
275. Itemset: [1495], Total Utility: 11832.0
276. Itemset: [886], Total Utility: 11818.0
277. Itemset: [1142], Total Utility: 11800.0
278. Itemset: [673], Total Utility: 11782.0
279. Itemset: [1343], Total Utility: 11767.0
280. Itemset: [749], Total Utility: 11748.0
281. Itemset: [1048], Total Utility: 11713.0
282. Itemset: [1056], Total Utility: 11713.0
283. Itemset: [221], Total Utility: 11712.0
284. Itemset: [526], Total Utility: 11700.0
285. Itemset: [1220], Total Utility: 11700.0
286. Itemset: [569], Total Utility: 11692.0
287. Itemset: [691], Total Utility: 11685.0
288. Itemset: [1357], Total Utility: 11653.0
289. Itemset: [415], Total Utility: 11640.0
290. Itemset: [819], Total Utility: 11634.0
291. Itemset: [751], Total Utility: 11607.0
292. Itemset: [260], Total Utility: 11592.0
293. Itemset: [610], Total Utility: 11577.0
294. Itemset: [308], Total Utility: 11554.0
295. Itemset: [728], Total Utility: 11528.0
296. Itemset: [1502], Total Utility: 11521.0
297. Itemset: [357], Total Utility: 11520.0
298. Itemset: [534], Total Utility: 11491.0
299. Itemset: [1539], Total Utility: 11456.0
300. Itemset: [1465], Total Utility: 11430.0
