Results of ITUFP Algorithm
==================================================
Top-300 High-Utility Itemsets:
==================================================
1. Itemset: 1373 | Total Utility: 25560.00 | Expected Support: 12.24
35. Itemset: 1121 | Total Utility: 17802.00 | Expected Support: 8.49
36. Itemset: 246 | Total Utility: 17655.00 | Expected Support: 7.34
37. Itemset: 422 | Total Utility: 17616.00 | Expected Support: 7.77
38. Itemset: 365 | Total Utility: 17424.00 | Expected Support: 7.59
39. Itemset: 235 | Total Utility: 17395.00 | Expected Support: 6.51
40. Itemset: 49 | Total Utility: 17238.00 | Expected Support: 7.59
41. Itemset: 907 | Total Utility: 17100.00 | Expected Support: 7.23
42. Itemset: 80 | Total Utility: 17060.00 | Expected Support: 7.21
43. Itemset: 508 | Total Utility: 17055.00 | Expected Support: 7.68
44. Itemset: 111 | Total Utility: 17052.00 | Expected Support: 10.22
45. Itemset: 712 | Total Utility: 17028.00 | Expected Support: 7.50
46. Itemset: 137 | Total Utility: 17020.00 | Expected Support: 6.70
47. Itemset: 1398 | Total Utility: 17002.00 | Expected Support: 9.27
48. Itemset: 320 | Total Utility: 16947.00 | Expected Support: 7.46
49. Itemset: 1345 | Total Utility: 16927.00 | Expected Support: 9.70
50. Itemset: 502 | Total Utility: 16801.00 | Expected Support: 9.46
51. Itemset: 362 | Total Utility: 16674.00 | Expected Support: 5.84
52. Itemset: 1493 | Total Utility: 16632.00 | Expected Support: 8.49
53. Itemset: 11 | Total Utility: 16497.00 | Expected Support: 7.83
54. Itemset: 274 | Total Utility: 16456.00 | Expected Support: 8.54
55. Itemset: 69 | Total Utility: 16430.00 | Expected Support: 8.42
56. Itemset: 776 | Total Utility: 16338.00 | Expected Support: 4.62
57. Itemset: 313 | Total Utility: 16245.00 | Expected Support: 9.44
58. Itemset: 189 | Total Utility: 16215.00 | Expected Support: 8.45
59. Itemset: 474 | Total Utility: 16192.00 | Expected Support: 7.84
60. Itemset: 506 | Total Utility: 16192.00 | Expected Support: 7.14
61. Itemset: 530 | Total Utility: 16168.00 | Expected Support: 8.04
62. Itemset: 27 | Total Utility: 16165.00 | Expected Support: 11.05
63. Itemset: 1202 | Total Utility: 16154.00 | Expected Support: 7.02
64. Itemset: 1423 | Total Utility: 16116.00 | Expected Support: 9.15
65. Itemset: 419 | Total Utility: 16065.00 | Expected Support: 8.40
66. Itemset: 844 | Total Utility: 15888.00 | Expected Support: 9.32
67. Itemset: 449 | Total Utility: 15867.00 | Expected Support: 8.06
68. Itemset: 532 | Total Utility: 15867.00 | Expected Support: 7.42
69. Itemset: 1516 | Total Utility: 15792.00 | Expected Support: 8.49
70. Itemset: 379 | Total Utility: 15785.00 | Expected Support: 6.35
71. Itemset: 55 | Total Utility: 15750.00 | Expected Support: 7.22
72. Itemset: 1150 | Total Utility: 15631.00 | Expected Support: 7.91
73. Itemset: 1088 | Total Utility: 15604.00 | Expected Support: 7.48
74. Itemset: 832 | Total Utility: 15552.00 | Expected Support: 8.04
75. Itemset: 1159 | Total Utility: 15498.00 | Expected Support: 5.17
76. Itemset: 1077 | Total Utility: 15455.00 | Expected Support: 6.58
77. Itemset: 823 | Total Utility: 15435.00 | Expected Support: 8.25
78. Itemset: 1081 | Total Utility: 15423.00 | Expected Support: 10.60
79. Itemset: 639 | Total Utility: 15415.00 | Expected Support: 7.92
80. Itemset: 323 | Total Utility: 15400.00 | Expected Support: 6.28
81. Itemset: 868 | Total Utility: 15392.00 | Expected Support: 6.19
82. Itemset: 835 | Total Utility: 15356.00 | Expected Support: 8.13
83. Itemset: 1049 | Total Utility: 15327.00 | Expected Support: 6.78
84. Itemset: 283 | Total Utility: 15288.00 | Expected Support: 5.90
85. Itemset: 1389 | Total Utility: 15254.00 | Expected Support: 12.93
86. Itemset: 1093 | Total Utility: 15174.00 | Expected Support: 6.79
87. Itemset: 104 | Total Utility: 15171.00 | Expected Support: 7.03
88. Itemset: 916 | Total Utility: 15163.00 | Expected Support: 7.77
89. Itemset: 1136 | Total Utility: 15162.00 | Expected Support: 6.78
90. Itemset: 123 | Total Utility: 14976.00 | Expected Support: 4.63
91. Itemset: 190 | Total Utility: 14960.00 | Expected Support: 5.10
92. Itemset: 464 | Total Utility: 14952.00 | Expected Support: 5.52
93. Itemset: 668 | Total Utility: 14933.00 | Expected Support: 5.48
94. Itemset: 1453 | Total Utility: 14928.00 | Expected Support: 9.94
95. Itemset: 1336 | Total Utility: 14916.00 | Expected Support: 7.68
96. Itemset: 445 | Total Utility: 14878.00 | Expected Support: 6.76
97. Itemset: 924 | Total Utility: 14850.00 | Expected Support: 9.92
98. Itemset: 520 | Total Utility: 14840.00 | Expected Support: 10.43
99. Itemset: 53 | Total Utility: 14801.00 | Expected Support: 6.45
100. Itemset: 1464 | Total Utility: 14800.00 | Expected Support: 7.76
101. Itemset: 491 | Total Utility: 14742.00 | Expected Support: 7.39
102. Itemset: 330 | Total Utility: 14726.00 | Expected Support: 5.13
103. Itemset: 170 | Total Utility: 14720.00 | Expected Support: 10.24
104. Itemset: 300 | Total Utility: 14700.00 | Expected Support: 10.31
105. Itemset: 812 | Total Utility: 14696.00 | Expected Support: 7.89
106. Itemset: 1254 | Total Utility: 14680.00 | Expected Support: 7.52
107. Itemset: 1387 | Total Utility: 14658.00 | Expected Support: 6.74
108. Itemset: 306 | Total Utility: 14652.00 | Expected Support: 5.65
109. Itemset: 903 | Total Utility: 14616.00 | Expected Support: 9.95
110. Itemset: 1076 | Total Utility: 14580.00 | Expected Support: 7.32
111. Itemset: 231 | Total Utility: 14575.00 | Expected Support: 7.86
112. Itemset: 1117 | Total Utility: 14560.00 | Expected Support: 7.36
113. Itemset: 1296 | Total Utility: 14548.00 | Expected Support: 7.29
114. Itemset: 418 | Total Utility: 14536.00 | Expected Support: 7.78
115. Itemset: 744 | Total Utility: 14467.00 | Expected Support: 6.85
116. Itemset: 281 | Total Utility: 14465.00 | Expected Support: 7.75
117. Itemset: 218 | Total Utility: 14448.00 | Expected Support: 7.89
118. Itemset: 435 | Total Utility: 14433.00 | Expected Support: 9.09
119. Itemset: 695 | Total Utility: 14432.00 | Expected Support: 7.97
120. Itemset: 1540 | Total Utility: 14432.00 | Expected Support: 7.28
121. Itemset: 1281 | Total Utility: 14404.00 | Expected Support: 7.87
122. Itemset: 1211 | Total Utility: 14402.00 | Expected Support: 6.10
123. Itemset: 1278 | Total Utility: 14382.00 | Expected Support: 8.26
124. Itemset: 1160 | Total Utility: 14344.00 | Expected Support: 9.01
125. Itemset: 1348 | Total Utility: 14326.00 | Expected Support: 8.63
126. Itemset: 1251 | Total Utility: 14320.00 | Expected Support: 6.05
127. Itemset: 1063 | Total Utility: 14303.00 | Expected Support: 6.74
128. Itemset: 383 | Total Utility: 14300.00 | Expected Support: 7.52
129. Itemset: 975 | Total Utility: 14288.00 | Expected Support: 5.69
130. Itemset: 811 | Total Utility: 14256.00 | Expected Support: 5.69
131. Itemset: 305 | Total Utility: 14238.00 | Expected Support: 7.56
132. Itemset: 50 | Total Utility: 14220.00 | Expected Support: 5.68
133. Itemset: 896 | Total Utility: 14199.00 | Expected Support: 9.54
134. Itemset: 20 | Total Utility: 14178.00 | Expected Support: 11.72
135. Itemset: 1555 | Total Utility: 14160.00 | Expected Support: 6.03
136. Itemset: 521 | Total Utility: 14155.00 | Expected Support: 5.07
137. Itemset: 153 | Total Utility: 14144.00 | Expected Support: 8.15
138. Itemset: 554 | Total Utility: 14130.00 | Expected Support: 6.80
139. Itemset: 28 | Total Utility: 14076.00 | Expected Support: 6.62
140. Itemset: 223 | Total Utility: 14036.00 | Expected Support: 5.83
141. Itemset: 863 | Total Utility: 14006.00 | Expected Support: 7.33
142. Itemset: 609 | Total Utility: 13986.00 | Expected Support: 7.85
143. Itemset: 559 | Total Utility: 13983.00 | Expected Support: 5.54
144. Itemset: 556 | Total Utility: 13975.00 | Expected Support: 6.73
145. Itemset: 1104 | Total Utility: 13965.00 | Expected Support: 9.44
146. Itemset: 946 | Total Utility: 13965.00 | Expected Support: 9.06
147. Itemset: 703 | Total Utility: 13959.00 | Expected Support: 6.94
148. Itemset: 416 | Total Utility: 13944.00 | Expected Support: 5.62
149. Itemset: 1099 | Total Utility: 13932.00 | Expected Support: 6.66
150. Itemset: 136 | Total Utility: 13932.00 | Expected Support: 6.37
151. Itemset: 1269 | Total Utility: 13895.00 | Expected Support: 4.67
152. Itemset: 1146 | Total Utility: 13878.00 | Expected Support: 8.96
153. Itemset: 1374 | Total Utility: 13872.00 | Expected Support: 6.57
154. Itemset: 713 | Total Utility: 13840.00 | Expected Support: 7.52
155. Itemset: 847 | Total Utility: 13824.00 | Expected Support: 6.91
156. Itemset: 16 | Total Utility: 13788.00 | Expected Support: 6.65
157. Itemset: 575 | Total Utility: 13769.00 | Expected Support: 8.81
158. Itemset: 1237 | Total Utility: 13750.00 | Expected Support: 6.01
159. Itemset: 602 | Total Utility: 13696.00 | Expected Support: 12.35
160. Itemset: 1070 | Total Utility: 13689.00 | Expected Support: 6.00
161. Itemset: 991 | Total Utility: 13650.00 | Expected Support: 7.88
162. Itemset: 986 | Total Utility: 13650.00 | Expected Support: 5.57
163. Itemset: 304 | Total Utility: 13607.00 | Expected Support: 12.95
164. Itemset: 950 | Total Utility: 13533.00 | Expected Support: 5.87
165. Itemset: 1197 | Total Utility: 13502.00 | Expected Support: 6.63
166. Itemset: 656 | Total Utility: 13475.00 | Expected Support: 5.98
167. Itemset: 1019 | Total Utility: 13464.00 | Expected Support: 5.58
168. Itemset: 1473 | Total Utility: 13452.00 | Expected Support: 6.82
169. Itemset: 1430 | Total Utility: 13440.00 | Expected Support: 6.16
170. Itemset: 1529 | Total Utility: 13407.00 | Expected Support: 4.74
171. Itemset: 756 | Total Utility: 13393.00 | Expected Support: 8.32
172. Itemset: 141 | Total Utility: 13362.00 | Expected Support: 6.83
173. Itemset: 1417 | Total Utility: 13357.00 | Expected Support: 7.89
174. Itemset: 803 | Total Utility: 13338.00 | Expected Support: 5.28
175. Itemset: 155 | Total Utility: 13335.00 | Expected Support: 7.58
176. Itemset: 717 | Total Utility: 13328.00 | Expected Support: 5.28
177. Itemset: 1119 | Total Utility: 13314.00 | Expected Support: 8.91
178. Itemset: 724 | Total Utility: 13230.00 | Expected Support: 6.46
179. Itemset: 640 | Total Utility: 13209.00 | Expected Support: 7.47
180. Itemset: 1118 | Total Utility: 13178.00 | Expected Support: 6.61
181. Itemset: 1007 | Total Utility: 13166.00 | Expected Support: 8.28
182. Itemset: 358 | Total Utility: 13125.00 | Expected Support: 6.62
183. Itemset: 842 | Total Utility: 13120.00 | Expected Support: 5.73
184. Itemset: 322 | Total Utility: 13112.00 | Expected Support: 6.12
185. Itemset: 1340 | Total Utility: 13107.00 | Expected Support: 8.89
186. Itemset: 326 | Total Utility: 13091.00 | Expected Support: 9.10
187. Itemset: 883 | Total Utility: 13041.00 | Expected Support: 8.76
188. Itemset: 105 | Total Utility: 13020.00 | Expected Support: 6.66
189. Itemset: 489 | Total Utility: 13014.00 | Expected Support: 10.23
190. Itemset: 387 | Total Utility: 13014.00 | Expected Support: 8.92
191. Itemset: 1168 | Total Utility: 12988.00 | Expected Support: 4.27
192. Itemset: 1525 | Total Utility: 12969.00 | Expected Support: 6.39
193. Itemset: 555 | Total Utility: 12960.00 | Expected Support: 5.18
194. Itemset: 922 | Total Utility: 12950.00 | Expected Support: 9.72
195. Itemset: 1538 | Total Utility: 12912.00 | Expected Support: 8.37
196. Itemset: 54 | Total Utility: 12889.00 | Expected Support: 8.08
197. Itemset: 1001 | Total Utility: 12852.00 | Expected Support: 8.92
198. Itemset: 891 | Total Utility: 12844.00 | Expected Support: 10.19
199. Itemset: 933 | Total Utility: 12844.00 | Expected Support: 7.42
200. Itemset: 261 | Total Utility: 12844.00 | Expected Support: 5.98
201. Itemset: 676 | Total Utility: 12824.00 | Expected Support: 5.44
202. Itemset: 853 | Total Utility: 12804.00 | Expected Support: 7.56
203. Itemset: 890 | Total Utility: 12789.00 | Expected Support: 9.55
204. Itemset: 1416 | Total Utility: 12788.00 | Expected Support: 6.98
205. Itemset: 1073 | Total Utility: 12765.00 | Expected Support: 6.89
206. Itemset: 1472 | Total Utility: 12760.00 | Expected Support: 9.36
207. Itemset: 606 | Total Utility: 12720.00 | Expected Support: 8.78
208. Itemset: 800 | Total Utility: 12706.00 | Expected Support: 5.07
209. Itemset: 8 | Total Utility: 12691.00 | Expected Support: 5.19
210. Itemset: 1165 | Total Utility: 12690.00 | Expected Support: 8.56
211. Itemset: 234 | Total Utility: 12690.00 | Expected Support: 8.03
212. Itemset: 789 | Total Utility: 12670.00 | Expected Support: 7.86
213. Itemset: 568 | Total Utility: 12654.00 | Expected Support: 8.02
214. Itemset: 1248 | Total Utility: 12653.00 | Expected Support: 7.27
215. Itemset: 1308 | Total Utility: 12642.00 | Expected Support: 10.23
216. Itemset: 1291 | Total Utility: 12642.00 | Expected Support: 9.46
217. Itemset: 1547 | Total Utility: 12614.00 | Expected Support: 8.06
218. Itemset: 519 | Total Utility: 12606.00 | Expected Support: 6.65
219. Itemset: 1384 | Total Utility: 12593.00 | Expected Support: 7.56
220. Itemset: 1324 | Total Utility: 12578.00 | Expected Support: 4.46
221. Itemset: 678 | Total Utility: 12546.00 | Expected Support: 5.68
222. Itemset: 580 | Total Utility: 12532.00 | Expected Support: 7.89
223. Itemset: 394 | Total Utility: 12520.00 | Expected Support: 7.27
224. Itemset: 599 | Total Utility: 12519.00 | Expected Support: 9.52
225. Itemset: 659 | Total Utility: 12519.00 | Expected Support: 6.07
226. Itemset: 1241 | Total Utility: 12516.00 | Expected Support: 8.46
227. Itemset: 708 | Total Utility: 12512.00 | Expected Support: 5.45
228. Itemset: 193 | Total Utility: 12510.00 | Expected Support: 5.01
229. Itemset: 884 | Total Utility: 12480.00 | Expected Support: 6.95
230. Itemset: 825 | Total Utility: 12452.00 | Expected Support: 8.34
231. Itemset: 1467 | Total Utility: 12416.00 | Expected Support: 7.07
232. Itemset: 1390 | Total Utility: 12415.00 | Expected Support: 11.40
233. Itemset: 493 | Total Utility: 12408.00 | Expected Support: 5.92
234. Itemset: 63 | Total Utility: 12390.00 | Expected Support: 6.83
235. Itemset: 484 | Total Utility: 12376.00 | Expected Support: 6.78
236. Itemset: 742 | Total Utility: 12350.00 | Expected Support: 7.63
237. Itemset: 915 | Total Utility: 12341.00 | Expected Support: 7.01
238. Itemset: 1208 | Total Utility: 12341.00 | Expected Support: 6.06
239. Itemset: 1213 | Total Utility: 12301.00 | Expected Support: 5.65
240. Itemset: 44 | Total Utility: 12298.00 | Expected Support: 7.65
241. Itemset: 321 | Total Utility: 12291.00 | Expected Support: 9.09
242. Itemset: 1271 | Total Utility: 12250.00 | Expected Support: 5.68
243. Itemset: 882 | Total Utility: 12201.00 | Expected Support: 8.65
244. Itemset: 407 | Total Utility: 12198.00 | Expected Support: 6.44
245. Itemset: 467 | Total Utility: 12192.00 | Expected Support: 3.90
246. Itemset: 200 | Total Utility: 12190.00 | Expected Support: 7.53
247. Itemset: 414 | Total Utility: 12188.00 | Expected Support: 6.77
248. Itemset: 405 | Total Utility: 12177.00 | Expected Support: 7.05
249. Itemset: 584 | Total Utility: 12173.00 | Expected Support: 7.03
250. Itemset: 1272 | Total Utility: 12152.00 | Expected Support: 6.64
251. Itemset: 1313 | Total Utility: 12152.00 | Expected Support: 6.20
252. Itemset: 82 | Total Utility: 12150.00 | Expected Support: 7.25
253. Itemset: 373 | Total Utility: 12138.00 | Expected Support: 9.46
254. Itemset: 68 | Total Utility: 12104.00 | Expected Support: 4.33
255. Itemset: 275 | Total Utility: 12099.00 | Expected Support: 6.38
256. Itemset: 512 | Total Utility: 12056.00 | Expected Support: 7.56
257. Itemset: 191 | Total Utility: 12054.00 | Expected Support: 6.33
258. Itemset: 774 | Total Utility: 12005.00 | Expected Support: 6.13
259. Itemset: 1206 | Total Utility: 12004.00 | Expected Support: 5.19
260. Itemset: 963 | Total Utility: 12000.00 | Expected Support: 7.87
261. Itemset: 1264 | Total Utility: 11985.00 | Expected Support: 7.41
262. Itemset: 1428 | Total Utility: 11966.00 | Expected Support: 5.15
263. Itemset: 149 | Total Utility: 11952.00 | Expected Support: 7.80
264. Itemset: 1047 | Total Utility: 11951.00 | Expected Support: 6.44
265. Itemset: 1342 | Total Utility: 11936.00 | Expected Support: 6.53
266. Itemset: 952 | Total Utility: 11931.00 | Expected Support: 5.63
267. Itemset: 1184 | Total Utility: 11928.00 | Expected Support: 6.35
268. Itemset: 121 | Total Utility: 11920.00 | Expected Support: 5.21
269. Itemset: 452 | Total Utility: 11904.00 | Expected Support: 7.68
270. Itemset: 1074 | Total Utility: 11894.00 | Expected Support: 4.93
271. Itemset: 634 | Total Utility: 11881.00 | Expected Support: 10.12
272. Itemset: 726 | Total Utility: 11877.00 | Expected Support: 7.86
273. Itemset: 219 | Total Utility: 11844.00 | Expected Support: 8.85
274. Itemset: 1279 | Total Utility: 11840.00 | Expected Support: 4.56
275. Itemset: 1495 | Total Utility: 11832.00 | Expected Support: 4.68
276. Itemset: 886 | Total Utility: 11818.00 | Expected Support: 6.26
277. Itemset: 1142 | Total Utility: 11800.00 | Expected Support: 5.72
278. Itemset: 673 | Total Utility: 11782.00 | Expected Support: 4.82
279. Itemset: 1343 | Total Utility: 11767.00 | Expected Support: 8.87
280. Itemset: 749 | Total Utility: 11748.00 | Expected Support: 8.47
281. Itemset: 1048 | Total Utility: 11713.00 | Expected Support: 7.78
282. Itemset: 1056 | Total Utility: 11713.00 | Expected Support: 5.96
283. Itemset: 221 | Total Utility: 11712.00 | Expected Support: 5.27
284. Itemset: 526 | Total Utility: 11700.00 | Expected Support: 9.82
285. Itemset: 1220 | Total Utility: 11700.00 | Expected Support: 9.54
286. Itemset: 569 | Total Utility: 11692.00 | Expected Support: 6.28
287. Itemset: 691 | Total Utility: 11685.00 | Expected Support: 6.29
288. Itemset: 1357 | Total Utility: 11653.00 | Expected Support: 9.33
289. Itemset: 415 | Total Utility: 11640.00 | Expected Support: 3.84
290. Itemset: 819 | Total Utility: 11634.00 | Expected Support: 6.04
291. Itemset: 751 | Total Utility: 11607.00 | Expected Support: 8.68
292. Itemset: 260 | Total Utility: 11592.00 | Expected Support: 8.58
293. Itemset: 610 | Total Utility: 11577.00 | Expected Support: 6.35
294. Itemset: 308 | Total Utility: 11554.00 | Expected Support: 10.63
295. Itemset: 728 | Total Utility: 11528.00 | Expected Support: 11.48
296. Itemset: 1502 | Total Utility: 11521.00 | Expected Support: 9.62
297. Itemset: 357 | Total Utility: 11520.00 | Expected Support: 10.87
298. Itemset: 534 | Total Utility: 11491.00 | Expected Support: 6.69
299. Itemset: 1539 | Total Utility: 11456.00 | Expected Support: 7.56
300. Itemset: 1465 | Total Utility: 11430.00 | Expected Support: 7.11
==================================================
Execution Time: 0.49 seconds
Memory Usage: 0.83 MB
==================================================
