Results of ITUFP Algorithm
==================================================
Top-300 High-Utility Itemsets:
==================================================
1. Itemset: 40,49 | Total Utility: 481021.00 | Expected Support: 7374.69
114. Itemset: 230 | Total Utility: 21970.00 | Expected Support: 410.27
115. Itemset: 40,238 | Total Utility: 21393.00 | Expected Support: 472.50
116. Itemset: 523 | Total Utility: 21340.00 | Expected Support: 483.45
117. Itemset: 33,66 | Total Utility: 21277.00 | Expected Support: 200.55
118. Itemset: 49,1328 | Total Utility: 21264.00 | Expected Support: 236.56
119. Itemset: 90 | Total Utility: 21144.00 | Expected Support: 1961.21
120. Itemset: 2047 | Total Utility: 21114.00 | Expected Support: 313.20
121. Itemset: 665 | Total Utility: 20760.00 | Expected Support: 376.65
122. Itemset: 15833 | Total Utility: 19617.00 | Expected Support: 599.64
123. Itemset: 1328 | Total Utility: 19574.00 | Expected Support: 889.73
124. Itemset: 353 | Total Utility: 19376.00 | Expected Support: 226.82
125. Itemset: 40,111 | Total Utility: 19332.00 | Expected Support: 442.40
126. Itemset: 375 | Total Utility: 19218.00 | Expected Support: 302.24
127. Itemset: 40,1328 | Total Utility: 19103.00 | Expected Support: 281.75
128. Itemset: 879 | Total Utility: 18522.00 | Expected Support: 283.50
129. Itemset: 261 | Total Utility: 18505.00 | Expected Support: 350.87
130. Itemset: 16012 | Total Utility: 18490.00 | Expected Support: 341.48
131. Itemset: 273 | Total Utility: 18195.00 | Expected Support: 318.55
132. Itemset: 157 | Total Utility: 18076.00 | Expected Support: 421.92
133. Itemset: 917 | Total Utility: 18072.00 | Expected Support: 266.87
134. Itemset: 226 | Total Utility: 17821.00 | Expected Support: 1681.21
135. Itemset: 38 | Total Utility: 17748.00 | Expected Support: 537.97
136. Itemset: 911 | Total Utility: 17298.00 | Expected Support: 269.33
137. Itemset: 7976 | Total Utility: 17262.00 | Expected Support: 180.13
138. Itemset: 791 | Total Utility: 17100.00 | Expected Support: 260.40
139. Itemset: 118 | Total Utility: 17025.00 | Expected Support: 490.59
140. Itemset: 8979 | Total Utility: 17000.00 | Expected Support: 316.12
141. Itemset: 238 | Total Utility: 16915.00 | Expected Support: 1517.03
142. Itemset: 1159 | Total Utility: 16891.00 | Expected Support: 208.48
143. Itemset: 399 | Total Utility: 16860.00 | Expected Support: 261.30
144. Itemset: 866 | Total Utility: 16695.00 | Expected Support: 311.49
145. Itemset: 259 | Total Utility: 16620.00 | Expected Support: 503.69
146. Itemset: 9556 | Total Utility: 16485.00 | Expected Support: 215.08
147. Itemset: 421 | Total Utility: 16255.00 | Expected Support: 299.27
148. Itemset: 1514 | Total Utility: 16100.00 | Expected Support: 212.69
149. Itemset: 735 | Total Utility: 16096.00 | Expected Support: 181.77
150. Itemset: 979 | Total Utility: 15800.00 | Expected Support: 194.52
151. Itemset: 179 | Total Utility: 15732.00 | Expected Support: 250.21
152. Itemset: 10445 | Total Utility: 15618.00 | Expected Support: 227.81
153. Itemset: 2438 | Total Utility: 15575.00 | Expected Support: 280.71
154. Itemset: 489 | Total Utility: 15452.00 | Expected Support: 355.89
155. Itemset: 111 | Total Utility: 15367.00 | Expected Support: 1420.83
156. Itemset: 1705 | Total Utility: 15156.00 | Expected Support: 233.24
157. Itemset: 957 | Total Utility: 15078.00 | Expected Support: 459.88
158. Itemset: 57 | Total Utility: 14840.00 | Expected Support: 265.15
159. Itemset: 10516 | Total Utility: 14508.00 | Expected Support: 452.45
160. Itemset: 8069 | Total Utility: 14472.00 | Expected Support: 146.42
161. Itemset: 1199 | Total Utility: 14392.00 | Expected Support: 322.59
162. Itemset: 39,66 | Total Utility: 14384.00 | Expected Support: 169.02
163. Itemset: 790 | Total Utility: 14240.00 | Expected Support: 331.02
164. Itemset: 104 | Total Utility: 13956.00 | Expected Support: 403.43
165. Itemset: 593 | Total Utility: 13840.00 | Expected Support: 627.66
166. Itemset: 10654 | Total Utility: 13800.00 | Expected Support: 214.33
167. Itemset: 2441 | Total Utility: 13680.00 | Expected Support: 144.72
168. Itemset: 1292 | Total Utility: 13671.00 | Expected Support: 140.80
169. Itemset: 948 | Total Utility: 13540.00 | Expected Support: 307.29
170. Itemset: 280 | Total Utility: 13436.00 | Expected Support: 318.32
171. Itemset: 1742 | Total Utility: 13383.00 | Expected Support: 144.31
172. Itemset: 994 | Total Utility: 13209.00 | Expected Support: 176.36
173. Itemset: 1426 | Total Utility: 13188.00 | Expected Support: 169.52
174. Itemset: 1498 | Total Utility: 13140.00 | Expected Support: 126.26
175. Itemset: 3503 | Total Utility: 12984.00 | Expected Support: 194.95
176. Itemset: 1873 | Total Utility: 12776.00 | Expected Support: 300.29
177. Itemset: 2136 | Total Utility: 12775.00 | Expected Support: 230.59
178. Itemset: 1678 | Total Utility: 12745.00 | Expected Support: 240.91
179. Itemset: 202 | Total Utility: 12586.00 | Expected Support: 571.60
180. Itemset: 741 | Total Utility: 12582.00 | Expected Support: 595.71
181. Itemset: 2209 | Total Utility: 12558.00 | Expected Support: 198.91
182. Itemset: 549 | Total Utility: 12508.00 | Expected Support: 567.94
183. Itemset: 773 | Total Utility: 12387.00 | Expected Support: 374.41
184. Itemset: 4340 | Total Utility: 12267.00 | Expected Support: 123.69
185. Itemset: 13190 | Total Utility: 12250.00 | Expected Support: 211.07
186. Itemset: 1005 | Total Utility: 12152.00 | Expected Support: 540.44
187. Itemset: 2553 | Total Utility: 12060.00 | Expected Support: 189.04
188. Itemset: 590 | Total Utility: 12048.00 | Expected Support: 558.56
189. Itemset: 515 | Total Utility: 12045.00 | Expected Support: 219.20
190. Itemset: 10492 | Total Utility: 12020.00 | Expected Support: 210.31
191. Itemset: 11 | Total Utility: 11922.00 | Expected Support: 379.43
192. Itemset: 1418 | Total Utility: 11892.00 | Expected Support: 277.79
193. Itemset: 1596 | Total Utility: 11792.00 | Expected Support: 124.91
194. Itemset: 270 | Total Utility: 11778.00 | Expected Support: 361.82
195. Itemset: 3362 | Total Utility: 11725.00 | Expected Support: 214.53
196. Itemset: 3800 | Total Utility: 11700.00 | Expected Support: 219.87
197. Itemset: 12 | Total Utility: 11667.00 | Expected Support: 351.55
198. Itemset: 298 | Total Utility: 11652.00 | Expected Support: 270.65
199. Itemset: 12934 | Total Utility: 11586.00 | Expected Support: 173.98
200. Itemset: 84 | Total Utility: 11583.00 | Expected Support: 97.50
201. Itemset: 536 | Total Utility: 11553.00 | Expected Support: 363.37
202. Itemset: 4387 | Total Utility: 11544.00 | Expected Support: 99.57
203. Itemset: 450 | Total Utility: 11493.00 | Expected Support: 345.67
204. Itemset: 1067 | Total Utility: 11485.00 | Expected Support: 200.07
205. Itemset: 465 | Total Utility: 11454.00 | Expected Support: 348.68
206. Itemset: 95 | Total Utility: 11340.00 | Expected Support: 245.01
207. Itemset: 10443 | Total Utility: 11340.00 | Expected Support: 168.80
208. Itemset: 39,238 | Total Utility: 11339.00 | Expected Support: 168.47
209. Itemset: 2066 | Total Utility: 11280.00 | Expected Support: 166.24
210. Itemset: 1815 | Total Utility: 11250.00 | Expected Support: 347.92
211. Itemset: 1530 | Total Utility: 11244.00 | Expected Support: 162.10
212. Itemset: 53 | Total Utility: 11204.00 | Expected Support: 243.18
213. Itemset: 1136 | Total Utility: 11172.00 | Expected Support: 335.68
214. Itemset: 3013 | Total Utility: 11088.00 | Expected Support: 138.69
215. Itemset: 799 | Total Utility: 11072.00 | Expected Support: 249.23
216. Itemset: 13335 | Total Utility: 11046.00 | Expected Support: 171.28
217. Itemset: 1715 | Total Utility: 11036.00 | Expected Support: 274.42
218. Itemset: 1258 | Total Utility: 11015.00 | Expected Support: 194.04
219. Itemset: 2966 | Total Utility: 10962.00 | Expected Support: 151.46
220. Itemset: 794 | Total Utility: 10960.00 | Expected Support: 247.36
221. Itemset: 162 | Total Utility: 10918.00 | Expected Support: 495.40
222. Itemset: 881 | Total Utility: 10917.00 | Expected Support: 110.28
223. Itemset: 97 | Total Utility: 10908.00 | Expected Support: 164.22
224. Itemset: 1053 | Total Utility: 10870.00 | Expected Support: 205.08
225. Itemset: 904 | Total Utility: 10860.00 | Expected Support: 186.18
226. Itemset: 415 | Total Utility: 10808.00 | Expected Support: 133.92
227. Itemset: 419 | Total Utility: 10800.00 | Expected Support: 245.24
228. Itemset: 2400 | Total Utility: 10760.00 | Expected Support: 241.21
229. Itemset: 409 | Total Utility: 10736.00 | Expected Support: 246.47
230. Itemset: 187 | Total Utility: 10695.00 | Expected Support: 345.21
231. Itemset: 180 | Total Utility: 10682.00 | Expected Support: 506.22
232. Itemset: 784 | Total Utility: 10680.00 | Expected Support: 487.72
233. Itemset: 875 | Total Utility: 10610.00 | Expected Support: 97.27
234. Itemset: 14934 | Total Utility: 10588.00 | Expected Support: 236.80
235. Itemset: 3318 | Total Utility: 10464.00 | Expected Support: 156.31
236. Itemset: 8692 | Total Utility: 10450.00 | Expected Support: 195.11
237. Itemset: 81 | Total Utility: 10448.00 | Expected Support: 230.38
238. Itemset: 371 | Total Utility: 10420.00 | Expected Support: 191.23
239. Itemset: 623 | Total Utility: 10362.00 | Expected Support: 155.79
240. Itemset: 1004 | Total Utility: 10350.00 | Expected Support: 196.96
241. Itemset: 3271 | Total Utility: 10336.00 | Expected Support: 479.51
242. Itemset: 2345 | Total Utility: 10199.00 | Expected Support: 139.29
243. Itemset: 1480 | Total Utility: 10160.00 | Expected Support: 247.39
244. Itemset: 15619 | Total Utility: 10107.00 | Expected Support: 315.08
245. Itemset: 283 | Total Utility: 10064.00 | Expected Support: 117.52
246. Itemset: 48 | Total Utility: 10036.00 | Expected Support: 212.80
247. Itemset: 2959 | Total Utility: 10018.00 | Expected Support: 466.59
248. Itemset: 243 | Total Utility: 9970.00 | Expected Support: 472.37
249. Itemset: 1716 | Total Utility: 9924.00 | Expected Support: 300.25
250. Itemset: 10569 | Total Utility: 9919.00 | Expected Support: 121.05
251. Itemset: 493 | Total Utility: 9828.00 | Expected Support: 128.29
252. Itemset: 1047 | Total Utility: 9820.00 | Expected Support: 193.01
253. Itemset: 566 | Total Utility: 9814.00 | Expected Support: 122.22
254. Itemset: 731 | Total Utility: 9775.00 | Expected Support: 172.22
255. Itemset: 16431 | Total Utility: 9752.00 | Expected Support: 215.52
256. Itemset: 4780 | Total Utility: 9726.00 | Expected Support: 148.98
257. Itemset: 406 | Total Utility: 9668.00 | Expected Support: 456.04
258. Itemset: 5075 | Total Utility: 9666.00 | Expected Support: 147.40
259. Itemset: 1068 | Total Utility: 9597.00 | Expected Support: 293.37
260. Itemset: 926 | Total Utility: 9548.00 | Expected Support: 128.11
261. Itemset: 1482 | Total Utility: 9536.00 | Expected Support: 204.44
262. Itemset: 39,311 | Total Utility: 9484.00 | Expected Support: 109.66
263. Itemset: 650 | Total Utility: 9482.00 | Expected Support: 449.14
264. Itemset: 12944 | Total Utility: 9480.00 | Expected Support: 215.87
265. Itemset: 644 | Total Utility: 9440.00 | Expected Support: 172.45
266. Itemset: 320 | Total Utility: 9432.00 | Expected Support: 219.07
267. Itemset: 550 | Total Utility: 9426.00 | Expected Support: 419.51
268. Itemset: 1127 | Total Utility: 9416.00 | Expected Support: 211.28
269. Itemset: 257 | Total Utility: 9408.00 | Expected Support: 128.83
270. Itemset: 16432 | Total Utility: 9390.00 | Expected Support: 177.40
271. Itemset: 980 | Total Utility: 9380.00 | Expected Support: 226.29
272. Itemset: 468 | Total Utility: 9369.00 | Expected Support: 84.88
273. Itemset: 1639 | Total Utility: 9300.00 | Expected Support: 179.51
274. Itemset: 574 | Total Utility: 9288.00 | Expected Support: 89.28
275. Itemset: 2287 | Total Utility: 9256.00 | Expected Support: 114.75
276. Itemset: 886 | Total Utility: 9216.00 | Expected Support: 284.93
277. Itemset: 862 | Total Utility: 9208.00 | Expected Support: 101.28
278. Itemset: 813 | Total Utility: 9100.00 | Expected Support: 409.33
279. Itemset: 537 | Total Utility: 9090.00 | Expected Support: 129.62
280. Itemset: 1044 | Total Utility: 9066.00 | Expected Support: 264.83
281. Itemset: 4252 | Total Utility: 9018.00 | Expected Support: 100.50
282. Itemset: 962 | Total Utility: 9003.00 | Expected Support: 283.95
283. Itemset: 1319 | Total Utility: 8960.00 | Expected Support: 127.97
284. Itemset: 209 | Total Utility: 8952.00 | Expected Support: 252.96
285. Itemset: 2626 | Total Utility: 8940.00 | Expected Support: 137.60
286. Itemset: 416 | Total Utility: 8936.00 | Expected Support: 204.15
287. Itemset: 10657 | Total Utility: 8896.00 | Expected Support: 211.26
288. Itemset: 1805 | Total Utility: 8778.00 | Expected Support: 121.99
289. Itemset: 2674 | Total Utility: 8752.00 | Expected Support: 207.48
290. Itemset: 551 | Total Utility: 8658.00 | Expected Support: 135.33
291. Itemset: 1184 | Total Utility: 8634.00 | Expected Support: 136.27
292. Itemset: 2076 | Total Utility: 8620.00 | Expected Support: 159.37
293. Itemset: 2119 | Total Utility: 8610.00 | Expected Support: 266.96
294. Itemset: 372 | Total Utility: 8570.00 | Expected Support: 413.81
295. Itemset: 928 | Total Utility: 8570.00 | Expected Support: 155.05
296. Itemset: 31 | Total Utility: 8553.00 | Expected Support: 274.12
297. Itemset: 108 | Total Utility: 8522.00 | Expected Support: 396.32
298. Itemset: 2724 | Total Utility: 8502.00 | Expected Support: 128.61
299. Itemset: 939 | Total Utility: 8455.00 | Expected Support: 153.98
300. Itemset: 807 | Total Utility: 8418.00 | Expected Support: 374.66
==================================================
Execution Time: 559.95 seconds
Memory Usage: 158.23 MB
==================================================
