Results of ITUFP Algorithm
==================================================
Top-300 High-Utility Itemsets:
==================================================
1. Itemset: 1373 | Total Utility: 25560.00 | Expected Support: 12.24
35. Itemset: 474 | Total Utility: 16192.00 | Expected Support: 7.84
36. Itemset: 530 | Total Utility: 16168.00 | Expected Support: 8.04
37. Itemset: 27 | Total Utility: 16165.00 | Expected Support: 11.05
38. Itemset: 1423 | Total Utility: 16116.00 | Expected Support: 9.15
39. Itemset: 419 | Total Utility: 16065.00 | Expected Support: 8.40
40. Itemset: 844 | Total Utility: 15888.00 | Expected Support: 9.32
41. Itemset: 449 | Total Utility: 15867.00 | Expected Support: 8.06
42. Itemset: 1516 | Total Utility: 15792.00 | Expected Support: 8.49
43. Itemset: 1150 | Total Utility: 15631.00 | Expected Support: 7.91
44. Itemset: 832 | Total Utility: 15552.00 | Expected Support: 8.04
45. Itemset: 823 | Total Utility: 15435.00 | Expected Support: 8.25
46. Itemset: 1081 | Total Utility: 15423.00 | Expected Support: 10.60
47. Itemset: 639 | Total Utility: 15415.00 | Expected Support: 7.92
48. Itemset: 835 | Total Utility: 15356.00 | Expected Support: 8.13
49. Itemset: 1389 | Total Utility: 15254.00 | Expected Support: 12.93
50. Itemset: 916 | Total Utility: 15163.00 | Expected Support: 7.77
51. Itemset: 1453 | Total Utility: 14928.00 | Expected Support: 9.94
52. Itemset: 1336 | Total Utility: 14916.00 | Expected Support: 7.68
53. Itemset: 924 | Total Utility: 14850.00 | Expected Support: 9.92
54. Itemset: 520 | Total Utility: 14840.00 | Expected Support: 10.43
55. Itemset: 1464 | Total Utility: 14800.00 | Expected Support: 7.76
56. Itemset: 170 | Total Utility: 14720.00 | Expected Support: 10.24
57. Itemset: 300 | Total Utility: 14700.00 | Expected Support: 10.31
58. Itemset: 812 | Total Utility: 14696.00 | Expected Support: 7.89
59. Itemset: 903 | Total Utility: 14616.00 | Expected Support: 9.95
60. Itemset: 231 | Total Utility: 14575.00 | Expected Support: 7.86
61. Itemset: 418 | Total Utility: 14536.00 | Expected Support: 7.78
62. Itemset: 281 | Total Utility: 14465.00 | Expected Support: 7.75
63. Itemset: 218 | Total Utility: 14448.00 | Expected Support: 7.89
64. Itemset: 435 | Total Utility: 14433.00 | Expected Support: 9.09
65. Itemset: 695 | Total Utility: 14432.00 | Expected Support: 7.97
66. Itemset: 1281 | Total Utility: 14404.00 | Expected Support: 7.87
67. Itemset: 1278 | Total Utility: 14382.00 | Expected Support: 8.26
68. Itemset: 1160 | Total Utility: 14344.00 | Expected Support: 9.01
69. Itemset: 1348 | Total Utility: 14326.00 | Expected Support: 8.63
70. Itemset: 896 | Total Utility: 14199.00 | Expected Support: 9.54
71. Itemset: 20 | Total Utility: 14178.00 | Expected Support: 11.72
72. Itemset: 153 | Total Utility: 14144.00 | Expected Support: 8.15
73. Itemset: 609 | Total Utility: 13986.00 | Expected Support: 7.85
74. Itemset: 1104 | Total Utility: 13965.00 | Expected Support: 9.44
75. Itemset: 946 | Total Utility: 13965.00 | Expected Support: 9.06
76. Itemset: 1146 | Total Utility: 13878.00 | Expected Support: 8.96
77. Itemset: 575 | Total Utility: 13769.00 | Expected Support: 8.81
78. Itemset: 602 | Total Utility: 13696.00 | Expected Support: 12.35
79. Itemset: 991 | Total Utility: 13650.00 | Expected Support: 7.88
80. Itemset: 304 | Total Utility: 13607.00 | Expected Support: 12.95
81. Itemset: 756 | Total Utility: 13393.00 | Expected Support: 8.32
82. Itemset: 1417 | Total Utility: 13357.00 | Expected Support: 7.89
83. Itemset: 1119 | Total Utility: 13314.00 | Expected Support: 8.91
84. Itemset: 1007 | Total Utility: 13166.00 | Expected Support: 8.28
85. Itemset: 1340 | Total Utility: 13107.00 | Expected Support: 8.89
86. Itemset: 326 | Total Utility: 13091.00 | Expected Support: 9.10
87. Itemset: 883 | Total Utility: 13041.00 | Expected Support: 8.76
88. Itemset: 489 | Total Utility: 13014.00 | Expected Support: 10.23
89. Itemset: 387 | Total Utility: 13014.00 | Expected Support: 8.92
90. Itemset: 922 | Total Utility: 12950.00 | Expected Support: 9.72
91. Itemset: 1538 | Total Utility: 12912.00 | Expected Support: 8.37
92. Itemset: 54 | Total Utility: 12889.00 | Expected Support: 8.08
93. Itemset: 1001 | Total Utility: 12852.00 | Expected Support: 8.92
94. Itemset: 891 | Total Utility: 12844.00 | Expected Support: 10.19
95. Itemset: 890 | Total Utility: 12789.00 | Expected Support: 9.55
96. Itemset: 1472 | Total Utility: 12760.00 | Expected Support: 9.36
97. Itemset: 606 | Total Utility: 12720.00 | Expected Support: 8.78
98. Itemset: 1165 | Total Utility: 12690.00 | Expected Support: 8.56
99. Itemset: 234 | Total Utility: 12690.00 | Expected Support: 8.03
100. Itemset: 789 | Total Utility: 12670.00 | Expected Support: 7.86
101. Itemset: 568 | Total Utility: 12654.00 | Expected Support: 8.02
102. Itemset: 1308 | Total Utility: 12642.00 | Expected Support: 10.23
103. Itemset: 1291 | Total Utility: 12642.00 | Expected Support: 9.46
104. Itemset: 1547 | Total Utility: 12614.00 | Expected Support: 8.06
105. Itemset: 580 | Total Utility: 12532.00 | Expected Support: 7.89
106. Itemset: 599 | Total Utility: 12519.00 | Expected Support: 9.52
107. Itemset: 1241 | Total Utility: 12516.00 | Expected Support: 8.46
108. Itemset: 825 | Total Utility: 12452.00 | Expected Support: 8.34
109. Itemset: 1390 | Total Utility: 12415.00 | Expected Support: 11.40
110. Itemset: 321 | Total Utility: 12291.00 | Expected Support: 9.09
111. Itemset: 882 | Total Utility: 12201.00 | Expected Support: 8.65
112. Itemset: 373 | Total Utility: 12138.00 | Expected Support: 9.46
113. Itemset: 963 | Total Utility: 12000.00 | Expected Support: 7.87
114. Itemset: 149 | Total Utility: 11952.00 | Expected Support: 7.80
115. Itemset: 634 | Total Utility: 11881.00 | Expected Support: 10.12
116. Itemset: 726 | Total Utility: 11877.00 | Expected Support: 7.86
117. Itemset: 219 | Total Utility: 11844.00 | Expected Support: 8.85
118. Itemset: 1343 | Total Utility: 11767.00 | Expected Support: 8.87
119. Itemset: 749 | Total Utility: 11748.00 | Expected Support: 8.47
120. Itemset: 1048 | Total Utility: 11713.00 | Expected Support: 7.78
121. Itemset: 526 | Total Utility: 11700.00 | Expected Support: 9.82
122. Itemset: 1220 | Total Utility: 11700.00 | Expected Support: 9.54
123. Itemset: 1357 | Total Utility: 11653.00 | Expected Support: 9.33
124. Itemset: 751 | Total Utility: 11607.00 | Expected Support: 8.68
125. Itemset: 260 | Total Utility: 11592.00 | Expected Support: 8.58
126. Itemset: 308 | Total Utility: 11554.00 | Expected Support: 10.63
127. Itemset: 728 | Total Utility: 11528.00 | Expected Support: 11.48
128. Itemset: 1502 | Total Utility: 11521.00 | Expected Support: 9.62
129. Itemset: 357 | Total Utility: 11520.00 | Expected Support: 10.87
130. Itemset: 1470 | Total Utility: 11327.00 | Expected Support: 7.85
131. Itemset: 1002 | Total Utility: 11308.00 | Expected Support: 9.00
132. Itemset: 102 | Total Utility: 11270.00 | Expected Support: 8.82
133. Itemset: 1372 | Total Utility: 11205.00 | Expected Support: 8.67
134. Itemset: 408 | Total Utility: 11000.00 | Expected Support: 8.42
135. Itemset: 816 | Total Utility: 10992.00 | Expected Support: 8.69
136. Itemset: 386 | Total Utility: 10927.00 | Expected Support: 10.79
137. Itemset: 667 | Total Utility: 10906.00 | Expected Support: 7.79
138. Itemset: 624 | Total Utility: 10824.00 | Expected Support: 7.90
139. Itemset: 24 | Total Utility: 10726.00 | Expected Support: 10.40
140. Itemset: 266 | Total Utility: 10692.00 | Expected Support: 8.98
141. Itemset: 574 | Total Utility: 10680.00 | Expected Support: 7.86
142. Itemset: 1338 | Total Utility: 10656.00 | Expected Support: 8.95
143. Itemset: 943 | Total Utility: 10621.00 | Expected Support: 9.53
144. Itemset: 824 | Total Utility: 10550.00 | Expected Support: 9.76
145. Itemset: 497 | Total Utility: 10472.00 | Expected Support: 7.77
146. Itemset: 1431 | Total Utility: 10434.00 | Expected Support: 8.20
147. Itemset: 67 | Total Utility: 10416.00 | Expected Support: 10.27
148. Itemset: 1240 | Total Utility: 10385.00 | Expected Support: 7.77
149. Itemset: 1250 | Total Utility: 10368.00 | Expected Support: 9.38
150. Itemset: 1442 | Total Utility: 10332.00 | Expected Support: 11.45
151. Itemset: 1399 | Total Utility: 10324.00 | Expected Support: 9.06
152. Itemset: 377 | Total Utility: 10290.00 | Expected Support: 8.56
153. Itemset: 1204 | Total Utility: 10152.00 | Expected Support: 8.13
154. Itemset: 1306 | Total Utility: 10127.00 | Expected Support: 7.93
155. Itemset: 488 | Total Utility: 10101.00 | Expected Support: 9.29
156. Itemset: 529 | Total Utility: 10074.00 | Expected Support: 8.25
157. Itemset: 382 | Total Utility: 10044.00 | Expected Support: 12.02
158. Itemset: 999 | Total Utility: 10027.00 | Expected Support: 7.78
159. Itemset: 376 | Total Utility: 9988.00 | Expected Support: 8.40
160. Itemset: 9 | Total Utility: 9922.00 | Expected Support: 7.82
161. Itemset: 1347 | Total Utility: 9912.00 | Expected Support: 9.09
162. Itemset: 772 | Total Utility: 9894.00 | Expected Support: 9.79
163. Itemset: 625 | Total Utility: 9821.00 | Expected Support: 12.11
164. Itemset: 718 | Total Utility: 9741.00 | Expected Support: 7.79
165. Itemset: 878 | Total Utility: 9724.00 | Expected Support: 7.73
166. Itemset: 547 | Total Utility: 9702.00 | Expected Support: 8.30
167. Itemset: 1210 | Total Utility: 9681.00 | Expected Support: 8.07
168. Itemset: 1315 | Total Utility: 9612.00 | Expected Support: 9.99
169. Itemset: 1257 | Total Utility: 9505.00 | Expected Support: 8.50
170. Itemset: 992 | Total Utility: 9486.00 | Expected Support: 7.97
171. Itemset: 721 | Total Utility: 9485.00 | Expected Support: 8.01
172. Itemset: 600 | Total Utility: 9471.00 | Expected Support: 8.50
173. Itemset: 1101 | Total Utility: 9432.00 | Expected Support: 8.01
174. Itemset: 545 | Total Utility: 9419.00 | Expected Support: 10.11
175. Itemset: 341 | Total Utility: 9418.00 | Expected Support: 8.75
176. Itemset: 108 | Total Utility: 9417.00 | Expected Support: 7.94
177. Itemset: 236 | Total Utility: 9412.00 | Expected Support: 7.80
178. Itemset: 492 | Total Utility: 9381.00 | Expected Support: 9.55
179. Itemset: 186 | Total Utility: 9366.00 | Expected Support: 8.19
180. Itemset: 130 | Total Utility: 9366.00 | Expected Support: 8.12
181. Itemset: 685 | Total Utility: 9333.00 | Expected Support: 7.78
182. Itemset: 247 | Total Utility: 9256.00 | Expected Support: 9.18
183. Itemset: 448 | Total Utility: 9086.00 | Expected Support: 9.17
184. Itemset: 369 | Total Utility: 8961.00 | Expected Support: 7.81
185. Itemset: 753 | Total Utility: 8882.00 | Expected Support: 9.86
186. Itemset: 831 | Total Utility: 8848.00 | Expected Support: 10.40
187. Itemset: 1456 | Total Utility: 8784.00 | Expected Support: 8.63
188. Itemset: 391 | Total Utility: 8777.00 | Expected Support: 12.01
189. Itemset: 1029 | Total Utility: 8736.00 | Expected Support: 8.38
190. Itemset: 962 | Total Utility: 8602.00 | Expected Support: 10.06
191. Itemset: 1463 | Total Utility: 8514.00 | Expected Support: 7.84
192. Itemset: 881 | Total Utility: 8507.00 | Expected Support: 7.71
193. Itemset: 249 | Total Utility: 8421.00 | Expected Support: 9.20
194. Itemset: 1200 | Total Utility: 8415.00 | Expected Support: 8.53
195. Itemset: 1082 | Total Utility: 8404.00 | Expected Support: 8.94
196. Itemset: 1439 | Total Utility: 8400.00 | Expected Support: 9.35
197. Itemset: 650 | Total Utility: 8370.00 | Expected Support: 9.88
198. Itemset: 468 | Total Utility: 8352.00 | Expected Support: 8.59
199. Itemset: 1062 | Total Utility: 8330.00 | Expected Support: 8.05
200. Itemset: 30 | Total Utility: 8319.00 | Expected Support: 11.41
201. Itemset: 541 | Total Utility: 8272.00 | Expected Support: 8.52
202. Itemset: 1068 | Total Utility: 8229.00 | Expected Support: 8.68
203. Itemset: 889 | Total Utility: 8211.00 | Expected Support: 8.18
204. Itemset: 522 | Total Utility: 8140.00 | Expected Support: 8.18
205. Itemset: 413 | Total Utility: 8100.00 | Expected Support: 7.78
206. Itemset: 1526 | Total Utility: 8085.00 | Expected Support: 9.32
207. Itemset: 730 | Total Utility: 8084.00 | Expected Support: 8.35
208. Itemset: 1247 | Total Utility: 8064.00 | Expected Support: 8.48
209. Itemset: 1362 | Total Utility: 8046.00 | Expected Support: 11.66
210. Itemset: 813 | Total Utility: 7967.00 | Expected Support: 10.19
211. Itemset: 980 | Total Utility: 7740.00 | Expected Support: 7.80
212. Itemset: 1177 | Total Utility: 7700.00 | Expected Support: 8.25
213. Itemset: 727 | Total Utility: 7640.00 | Expected Support: 8.01
214. Itemset: 617 | Total Utility: 7527.00 | Expected Support: 10.84
215. Itemset: 1267 | Total Utility: 7520.00 | Expected Support: 8.25
216. Itemset: 307 | Total Utility: 7400.00 | Expected Support: 10.29
217. Itemset: 434 | Total Utility: 7384.00 | Expected Support: 10.05
218. Itemset: 1154 | Total Utility: 7304.00 | Expected Support: 8.09
219. Itemset: 1361 | Total Utility: 7240.00 | Expected Support: 8.87
220. Itemset: 1268 | Total Utility: 7150.00 | Expected Support: 9.26
221. Itemset: 1412 | Total Utility: 7137.00 | Expected Support: 8.48
222. Itemset: 923 | Total Utility: 7056.00 | Expected Support: 10.89
223. Itemset: 854 | Total Utility: 7040.00 | Expected Support: 7.86
224. Itemset: 1224 | Total Utility: 6944.00 | Expected Support: 7.95
225. Itemset: 33 | Total Utility: 6936.00 | Expected Support: 9.06
226. Itemset: 480 | Total Utility: 6927.00 | Expected Support: 7.99
227. Itemset: 1043 | Total Utility: 6908.00 | Expected Support: 8.19
228. Itemset: 173 | Total Utility: 6864.00 | Expected Support: 8.44
229. Itemset: 245 | Total Utility: 6854.00 | Expected Support: 8.45
230. Itemset: 469 | Total Utility: 6837.00 | Expected Support: 10.18
231. Itemset: 501 | Total Utility: 6807.00 | Expected Support: 8.10
232. Itemset: 443 | Total Utility: 6783.00 | Expected Support: 8.62
233. Itemset: 715 | Total Utility: 6665.00 | Expected Support: 8.78
234. Itemset: 436 | Total Utility: 6579.00 | Expected Support: 9.29
235. Itemset: 410 | Total Utility: 6552.00 | Expected Support: 7.88
236. Itemset: 958 | Total Utility: 6392.00 | Expected Support: 8.60
237. Itemset: 339 | Total Utility: 6300.00 | Expected Support: 8.00
238. Itemset: 604 | Total Utility: 6250.00 | Expected Support: 10.80
239. Itemset: 1511 | Total Utility: 6240.00 | Expected Support: 10.31
240. Itemset: 1522 | Total Utility: 6147.00 | Expected Support: 9.03
241. Itemset: 1530 | Total Utility: 6096.00 | Expected Support: 9.41
242. Itemset: 486 | Total Utility: 6032.00 | Expected Support: 8.70
243. Itemset: 378 | Total Utility: 5994.00 | Expected Support: 8.97
244. Itemset: 528 | Total Utility: 5952.00 | Expected Support: 11.81
245. Itemset: 1359 | Total Utility: 5828.00 | Expected Support: 8.75
246. Itemset: 316 | Total Utility: 5764.00 | Expected Support: 8.19
247. Itemset: 968 | Total Utility: 5760.00 | Expected Support: 8.49
248. Itemset: 1492 | Total Utility: 5467.00 | Expected Support: 7.94
249. Itemset: 360 | Total Utility: 5371.00 | Expected Support: 7.96
250. Itemset: 879 | Total Utility: 5328.00 | Expected Support: 8.15
251. Itemset: 888 | Total Utility: 5280.00 | Expected Support: 9.70
252. Itemset: 495 | Total Utility: 5265.00 | Expected Support: 7.68
253. Itemset: 1544 | Total Utility: 5256.00 | Expected Support: 7.96
254. Itemset: 902 | Total Utility: 5043.00 | Expected Support: 7.96
255. Itemset: 795 | Total Utility: 4992.00 | Expected Support: 9.20
256. Itemset: 370 | Total Utility: 4968.00 | Expected Support: 8.09
257. Itemset: 284 | Total Utility: 4950.00 | Expected Support: 7.77
258. Itemset: 380 | Total Utility: 4880.00 | Expected Support: 8.81
259. Itemset: 402 | Total Utility: 4851.00 | Expected Support: 8.54
260. Itemset: 355 | Total Utility: 4779.00 | Expected Support: 10.74
261. Itemset: 1333 | Total Utility: 4557.00 | Expected Support: 7.78
262. Itemset: 1521 | Total Utility: 4550.00 | Expected Support: 11.52
263. Itemset: 705 | Total Utility: 4488.00 | Expected Support: 8.11
264. Itemset: 1378 | Total Utility: 4453.00 | Expected Support: 10.24
265. Itemset: 989 | Total Utility: 4452.00 | Expected Support: 8.61
266. Itemset: 267 | Total Utility: 4316.00 | Expected Support: 11.26
267. Itemset: 334 | Total Utility: 4290.00 | Expected Support: 10.89
268. Itemset: 1256 | Total Utility: 4270.00 | Expected Support: 8.50
269. Itemset: 925 | Total Utility: 4253.00 | Expected Support: 8.03
270. Itemset: 701 | Total Utility: 4200.00 | Expected Support: 9.52
271. Itemset: 1163 | Total Utility: 4099.00 | Expected Support: 9.86
272. Itemset: 399 | Total Utility: 4089.00 | Expected Support: 8.03
273. Itemset: 1350 | Total Utility: 4048.00 | Expected Support: 8.64
274. Itemset: 944 | Total Utility: 4048.00 | Expected Support: 7.88
275. Itemset: 1144 | Total Utility: 3991.00 | Expected Support: 8.96
276. Itemset: 631 | Total Utility: 3978.00 | Expected Support: 8.44
277. Itemset: 26 | Total Utility: 3960.00 | Expected Support: 8.71
278. Itemset: 1392 | Total Utility: 3901.00 | Expected Support: 8.71
279. Itemset: 473 | Total Utility: 3723.00 | Expected Support: 7.78
280. Itemset: 352 | Total Utility: 3342.00 | Expected Support: 10.68
281. Itemset: 459 | Total Utility: 3328.00 | Expected Support: 11.39
282. Itemset: 1261 | Total Utility: 3300.00 | Expected Support: 9.73
283. Itemset: 338 | Total Utility: 3297.00 | Expected Support: 11.22
284. Itemset: 1407 | Total Utility: 3276.00 | Expected Support: 10.16
285. Itemset: 1316 | Total Utility: 3266.00 | Expected Support: 9.22
286. Itemset: 471 | Total Utility: 3237.00 | Expected Support: 8.43
287. Itemset: 401 | Total Utility: 3220.00 | Expected Support: 9.50
288. Itemset: 340 | Total Utility: 3213.00 | Expected Support: 8.69
289. Itemset: 1122 | Total Utility: 3182.00 | Expected Support: 9.29
290. Itemset: 906 | Total Utility: 3150.00 | Expected Support: 7.97
291. Itemset: 1314 | Total Utility: 3008.00 | Expected Support: 8.60
292. Itemset: 1332 | Total Utility: 2960.00 | Expected Support: 8.31
293. Itemset: 908 | Total Utility: 2890.00 | Expected Support: 9.32
294. Itemset: 254 | Total Utility: 2856.00 | Expected Support: 9.47
295. Itemset: 926 | Total Utility: 2856.00 | Expected Support: 8.65
296. Itemset: 1409 | Total Utility: 2703.00 | Expected Support: 7.96
297. Itemset: 1083 | Total Utility: 2600.00 | Expected Support: 7.74
298. Itemset: 629 | Total Utility: 2585.00 | Expected Support: 7.95
299. Itemset: 1355 | Total Utility: 2457.00 | Expected Support: 9.23
300. Itemset: 1153 | Total Utility: 2444.00 | Expected Support: 8.02
==================================================
Execution Time: 8.31 seconds
Memory Usage: 0.00 MB
==================================================
