Results of ITUFP Algorithm
==================================================
Top-300 High-Utility Itemsets:
==================================================
1. Itemset: 40,48 | Total Utility: 293650.00 | Expected Support: 770.89
45. Itemset: 40,19 | Total Utility: 149548.00 | Expected Support: 508.53
46. Itemset: 52,5 | Total Utility: 145296.00 | Expected Support: 777.13
47. Itemset: 40,38 | Total Utility: 144954.00 | Expected Support: 567.74
48. Itemset: 40,21 | Total Utility: 144151.00 | Expected Support: 579.61
49. Itemset: 40,54 | Total Utility: 143942.00 | Expected Support: 562.62
50. Itemset: 52,64 | Total Utility: 142806.00 | Expected Support: 694.54
51. Itemset: 40,70 | Total Utility: 142327.00 | Expected Support: 521.54
52. Itemset: 52,68 | Total Utility: 139937.00 | Expected Support: 502.34
53. Itemset: 29,60 | Total Utility: 138692.00 | Expected Support: 800.19
54. Itemset: 29,56 | Total Utility: 133904.00 | Expected Support: 771.20
55. Itemset: 29,66 | Total Utility: 133716.00 | Expected Support: 768.48
56. Itemset: 60,66 | Total Utility: 133160.00 | Expected Support: 775.46
57. Itemset: 58,48 | Total Utility: 132769.00 | Expected Support: 771.08
58. Itemset: 60,56 | Total Utility: 131544.00 | Expected Support: 780.06
59. Itemset: 29,72 | Total Utility: 130432.00 | Expected Support: 588.54
60. Itemset: 52,11 | Total Utility: 128084.00 | Expected Support: 539.69
61. Itemset: 52,9 | Total Utility: 125622.00 | Expected Support: 749.29
62. Itemset: 29,3 | Total Utility: 125116.00 | Expected Support: 720.64
63. Itemset: 40,69 | Total Utility: 125097.00 | Expected Support: 307.41
64. Itemset: 52,31 | Total Utility: 124749.00 | Expected Support: 657.23
65. Itemset: 60,3 | Total Utility: 123044.00 | Expected Support: 732.26
66. Itemset: 52,58 | Total Utility: 121755.00 | Expected Support: 819.13
67. Itemset: 52,17 | Total Utility: 121710.00 | Expected Support: 642.57
68. Itemset: 52,1 | Total Utility: 120039.00 | Expected Support: 429.07
69. Itemset: 29,68 | Total Utility: 119445.00 | Expected Support: 490.76
70. Itemset: 29,7 | Total Utility: 119224.00 | Expected Support: 788.87
71. Itemset: 52,50 | Total Utility: 118889.00 | Expected Support: 510.65
72. Itemset: 52,36 | Total Utility: 118085.00 | Expected Support: 805.95
73. Itemset: 60,7 | Total Utility: 116639.00 | Expected Support: 768.38
74. Itemset: 58,34 | Total Utility: 116542.00 | Expected Support: 780.88
75. Itemset: 52,62 | Total Utility: 116411.00 | Expected Support: 793.71
76. Itemset: 48 | Total Utility: 116193.00 | Expected Support: 1514.68
77. Itemset: 40,2 | Total Utility: 115554.00 | Expected Support: 395.50
78. Itemset: 29,64 | Total Utility: 114960.00 | Expected Support: 672.98
79. Itemset: 29,5 | Total Utility: 114184.00 | Expected Support: 756.60
80. Itemset: 36,34 | Total Utility: 112828.00 | Expected Support: 754.02
81. Itemset: 60,5 | Total Utility: 111919.00 | Expected Support: 754.39
82. Itemset: 40,13 | Total Utility: 111855.00 | Expected Support: 454.53
83. Itemset: 52,23 | Total Utility: 108566.00 | Expected Support: 471.27
84. Itemset: 52,25 | Total Utility: 108556.00 | Expected Support: 712.29
85. Itemset: 29,11 | Total Utility: 105215.00 | Expected Support: 532.51
86. Itemset: 52 | Total Utility: 104310.00 | Expected Support: 1629.90
87. Itemset: 29,1 | Total Utility: 103475.00 | Expected Support: 429.26
88. Itemset: 52,42 | Total Utility: 103332.00 | Expected Support: 718.05
89. Itemset: 34 | Total Utility: 99834.00 | Expected Support: 1546.16
90. Itemset: 52,44 | Total Utility: 99600.00 | Expected Support: 663.94
91. Itemset: 29,50 | Total Utility: 98462.00 | Expected Support: 504.19
92. Itemset: 52,15 | Total Utility: 98451.00 | Expected Support: 512.51
93. Itemset: 29,31 | Total Utility: 97590.00 | Expected Support: 644.06
94. Itemset: 52,46 | Total Utility: 97499.00 | Expected Support: 678.29
95. Itemset: 52,19 | Total Utility: 96450.00 | Expected Support: 511.31
96. Itemset: 40,24 | Total Utility: 96273.00 | Expected Support: 340.92
97. Itemset: 52,27 | Total Utility: 95686.00 | Expected Support: 555.36
98. Itemset: 29,17 | Total Utility: 95587.00 | Expected Support: 634.67
99. Itemset: 29,9 | Total Utility: 95552.00 | Expected Support: 736.27
100. Itemset: 40,14 | Total Utility: 95194.00 | Expected Support: 380.33
101. Itemset: 40,71 | Total Utility: 94045.00 | Expected Support: 306.63
102. Itemset: 60,9 | Total Utility: 93832.00 | Expected Support: 733.08
103. Itemset: 52,69 | Total Utility: 93144.00 | Expected Support: 312.16
104. Itemset: 52,74 | Total Utility: 91607.00 | Expected Support: 634.66
105. Itemset: 58,72 | Total Utility: 91092.00 | Expected Support: 593.70
106. Itemset: 40,16 | Total Utility: 89456.00 | Expected Support: 298.05
107. Itemset: 29,23 | Total Utility: 88999.00 | Expected Support: 468.49
108. Itemset: 58,29 | Total Utility: 88138.00 | Expected Support: 799.83
109. Itemset: 52,70 | Total Utility: 87536.00 | Expected Support: 509.78
110. Itemset: 58,60 | Total Utility: 86522.00 | Expected Support: 801.13
111. Itemset: 58,68 | Total Utility: 86391.00 | Expected Support: 506.44
112. Itemset: 29,36 | Total Utility: 85455.00 | Expected Support: 785.29
113. Itemset: 29,62 | Total Utility: 84626.00 | Expected Support: 779.81
114. Itemset: 52,21 | Total Utility: 84532.00 | Expected Support: 591.10
115. Itemset: 52,38 | Total Utility: 83971.00 | Expected Support: 563.51
116. Itemset: 60,36 | Total Utility: 83802.00 | Expected Support: 786.22
117. Itemset: 58,56 | Total Utility: 83746.00 | Expected Support: 780.62
118. Itemset: 52,54 | Total Utility: 83664.00 | Expected Support: 570.59
119. Itemset: 40,51 | Total Utility: 83611.00 | Expected Support: 319.83
120. Itemset: 58,66 | Total Utility: 83490.00 | Expected Support: 770.15
121. Itemset: 60,62 | Total Utility: 83002.00 | Expected Support: 771.19
122. Itemset: 36,56 | Total Utility: 81050.00 | Expected Support: 760.62
123. Itemset: 29,69 | Total Utility: 79956.00 | Expected Support: 302.62
124. Itemset: 40,20 | Total Utility: 79244.00 | Expected Support: 324.45
125. Itemset: 29,25 | Total Utility: 78647.00 | Expected Support: 703.12
126. Itemset: 72 | Total Utility: 78156.00 | Expected Support: 1171.93
127. Itemset: 60,25 | Total Utility: 77803.00 | Expected Support: 691.85
128. Itemset: 58,3 | Total Utility: 77607.00 | Expected Support: 718.36
129. Itemset: 29,15 | Total Utility: 77367.00 | Expected Support: 510.33
130. Itemset: 29,19 | Total Utility: 76266.00 | Expected Support: 498.95
131. Itemset: 40,12 | Total Utility: 75902.00 | Expected Support: 279.50
132. Itemset: 68 | Total Utility: 75740.00 | Expected Support: 990.84
133. Itemset: 58,1 | Total Utility: 75010.00 | Expected Support: 424.86
134. Itemset: 29,42 | Total Utility: 74862.00 | Expected Support: 704.36
135. Itemset: 52,2 | Total Utility: 74580.00 | Expected Support: 395.47
136. Itemset: 60,42 | Total Utility: 73985.00 | Expected Support: 696.66
137. Itemset: 29,27 | Total Utility: 73568.00 | Expected Support: 565.07
138. Itemset: 29,44 | Total Utility: 71723.00 | Expected Support: 641.67
139. Itemset: 58,64 | Total Utility: 71317.00 | Expected Support: 679.24
140. Itemset: 40,28 | Total Utility: 71104.00 | Expected Support: 259.12
141. Itemset: 58,11 | Total Utility: 70832.00 | Expected Support: 543.58
142. Itemset: 29 | Total Utility: 70692.00 | Expected Support: 1603.07
143. Itemset: 29,46 | Total Utility: 70535.00 | Expected Support: 659.10
144. Itemset: 60 | Total Utility: 69204.00 | Expected Support: 1598.45
145. Itemset: 40,55 | Total Utility: 68485.00 | Expected Support: 247.10
146. Itemset: 58,7 | Total Utility: 67787.00 | Expected Support: 772.84
147. Itemset: 40,39 | Total Utility: 67588.00 | Expected Support: 246.71
148. Itemset: 56 | Total Utility: 67204.00 | Expected Support: 1545.59
149. Itemset: 66 | Total Utility: 66880.00 | Expected Support: 1523.72
150. Itemset: 29,74 | Total Utility: 66326.00 | Expected Support: 613.87
151. Itemset: 29,70 | Total Utility: 66230.00 | Expected Support: 514.14
152. Itemset: 1 | Total Utility: 65863.00 | Expected Support: 849.37
153. Itemset: 36,7 | Total Utility: 65654.00 | Expected Support: 767.77
154. Itemset: 58,50 | Total Utility: 65238.00 | Expected Support: 494.36
155. Itemset: 52,13 | Total Utility: 64904.00 | Expected Support: 438.29
156. Itemset: 58,5 | Total Utility: 64834.00 | Expected Support: 766.18
157. Itemset: 52,71 | Total Utility: 63946.00 | Expected Support: 321.37
158. Itemset: 40,22 | Total Utility: 62919.00 | Expected Support: 242.45
159. Itemset: 3 | Total Utility: 61996.00 | Expected Support: 1437.86
160. Itemset: 29,21 | Total Utility: 61336.00 | Expected Support: 584.37
161. Itemset: 40,45 | Total Utility: 61018.00 | Expected Support: 148.92
162. Itemset: 29,54 | Total Utility: 60755.00 | Expected Support: 566.17
163. Itemset: 58,69 | Total Utility: 60333.00 | Expected Support: 305.34
164. Itemset: 29,38 | Total Utility: 60197.00 | Expected Support: 544.03
165. Itemset: 40,73 | Total Utility: 60097.00 | Expected Support: 203.18
166. Itemset: 52,24 | Total Utility: 59786.00 | Expected Support: 352.24
167. Itemset: 58,23 | Total Utility: 59008.00 | Expected Support: 467.09
168. Itemset: 11 | Total Utility: 58980.00 | Expected Support: 1076.27
169. Itemset: 40,75 | Total Utility: 58663.00 | Expected Support: 204.73
170. Itemset: 29,2 | Total Utility: 57554.00 | Expected Support: 385.45
171. Itemset: 52,16 | Total Utility: 57516.00 | Expected Support: 304.86
172. Itemset: 64 | Total Utility: 57044.00 | Expected Support: 1343.35
173. Itemset: 52,14 | Total Utility: 56932.00 | Expected Support: 389.35
174. Itemset: 58,31 | Total Utility: 55865.00 | Expected Support: 645.91
175. Itemset: 58,17 | Total Utility: 54540.00 | Expected Support: 635.89
176. Itemset: 50 | Total Utility: 54505.00 | Expected Support: 1004.08
177. Itemset: 69 | Total Utility: 53480.00 | Expected Support: 613.92
178. Itemset: 52,51 | Total Utility: 53120.00 | Expected Support: 319.14
179. Itemset: 29,71 | Total Utility: 51444.00 | Expected Support: 309.78
180. Itemset: 7 | Total Utility: 50976.00 | Expected Support: 1549.38
181. Itemset: 40,18 | Total Utility: 49167.00 | Expected Support: 181.44
182. Itemset: 23 | Total Utility: 49070.00 | Expected Support: 913.53
183. Itemset: 40,47 | Total Utility: 48909.00 | Expected Support: 160.72
184. Itemset: 5 | Total Utility: 48585.00 | Expected Support: 1514.74
185. Itemset: 58,9 | Total Utility: 47871.00 | Expected Support: 740.98
186. Itemset: 29,13 | Total Utility: 47531.00 | Expected Support: 437.96
187. Itemset: 52,20 | Total Utility: 47256.00 | Expected Support: 322.82
188. Itemset: 52,12 | Total Utility: 46852.00 | Expected Support: 282.78
189. Itemset: 29,24 | Total Utility: 45646.00 | Expected Support: 347.17
190. Itemset: 52,45 | Total Utility: 45082.00 | Expected Support: 145.98
191. Itemset: 29,16 | Total Utility: 44973.00 | Expected Support: 295.20
192. Itemset: 58,15 | Total Utility: 44037.00 | Expected Support: 509.21
193. Itemset: 52,28 | Total Utility: 43556.00 | Expected Support: 259.16
194. Itemset: 52,55 | Total Utility: 43546.00 | Expected Support: 254.22
195. Itemset: 58,19 | Total Utility: 43545.00 | Expected Support: 506.51
196. Itemset: 52,39 | Total Utility: 43464.00 | Expected Support: 257.20
197. Itemset: 31 | Total Utility: 41997.00 | Expected Support: 1279.73
198. Itemset: 40,43 | Total Utility: 41191.00 | Expected Support: 114.75
199. Itemset: 40,65 | Total Utility: 41008.00 | Expected Support: 142.08
200. Itemset: 17 | Total Utility: 40821.00 | Expected Support: 1272.76
201. Itemset: 29,14 | Total Utility: 40650.00 | Expected Support: 377.90
202. Itemset: 29,51 | Total Utility: 39956.00 | Expected Support: 313.21
203. Itemset: 52,75 | Total Utility: 38907.00 | Expected Support: 206.09
204. Itemset: 52,22 | Total Utility: 37295.00 | Expected Support: 241.99
205. Itemset: 40,32 | Total Utility: 37205.00 | Expected Support: 106.45
206. Itemset: 58,27 | Total Utility: 36587.00 | Expected Support: 558.56
207. Itemset: 52,73 | Total Utility: 36108.00 | Expected Support: 202.97
208. Itemset: 58,36 | Total Utility: 34042.00 | Expected Support: 797.60
209. Itemset: 29,20 | Total Utility: 33799.00 | Expected Support: 320.74
210. Itemset: 58,62 | Total Utility: 33639.00 | Expected Support: 780.54
211. Itemset: 58,2 | Total Utility: 33003.00 | Expected Support: 394.84
212. Itemset: 58,70 | Total Utility: 32970.00 | Expected Support: 511.26
213. Itemset: 15 | Total Utility: 32832.00 | Expected Support: 1023.98
214. Itemset: 19 | Total Utility: 32763.00 | Expected Support: 1007.30
215. Itemset: 36,62 | Total Utility: 32533.00 | Expected Support: 762.44
216. Itemset: 9 | Total Utility: 32070.00 | Expected Support: 1467.94
217. Itemset: 58,71 | Total Utility: 31864.00 | Expected Support: 308.40
218. Itemset: 40,4 | Total Utility: 31734.00 | Expected Support: 100.94
219. Itemset: 52,47 | Total Utility: 31659.00 | Expected Support: 156.50
220. Itemset: 58,25 | Total Utility: 31246.00 | Expected Support: 701.01
221. Itemset: 52,18 | Total Utility: 30722.00 | Expected Support: 183.79
222. Itemset: 58,42 | Total Utility: 29816.00 | Expected Support: 693.26
223. Itemset: 58,45 | Total Utility: 29365.00 | Expected Support: 145.28
224. Itemset: 52,43 | Total Utility: 29122.00 | Expected Support: 116.40
225. Itemset: 58,44 | Total Utility: 28584.00 | Expected Support: 651.14
226. Itemset: 40,10 | Total Utility: 28302.00 | Expected Support: 82.12
227. Itemset: 58,46 | Total Utility: 28044.00 | Expected Support: 671.44
228. Itemset: 52,65 | Total Utility: 27966.00 | Expected Support: 146.93
229. Itemset: 58,74 | Total Utility: 26433.00 | Expected Support: 632.50
230. Itemset: 52,32 | Total Utility: 26239.00 | Expected Support: 115.21
231. Itemset: 45 | Total Utility: 26104.00 | Expected Support: 291.30
232. Itemset: 71 | Total Utility: 25364.00 | Expected Support: 611.72
233. Itemset: 58,16 | Total Utility: 25362.00 | Expected Support: 297.98
234. Itemset: 40,33 | Total Utility: 24867.00 | Expected Support: 61.98
235. Itemset: 2 | Total Utility: 24642.00 | Expected Support: 776.76
236. Itemset: 27 | Total Utility: 24494.00 | Expected Support: 1111.02
237. Itemset: 58,21 | Total Utility: 24487.00 | Expected Support: 568.94
238. Itemset: 58,38 | Total Utility: 24200.00 | Expected Support: 550.16
239. Itemset: 58,54 | Total Utility: 24142.00 | Expected Support: 564.74
240. Itemset: 58,24 | Total Utility: 22700.00 | Expected Support: 351.22
241. Itemset: 70 | Total Utility: 21954.00 | Expected Support: 1024.42
242. Itemset: 40,26 | Total Utility: 21748.00 | Expected Support: 89.64
243. Itemset: 52,4 | Total Utility: 21463.00 | Expected Support: 102.06
244. Itemset: 52,10 | Total Utility: 20556.00 | Expected Support: 86.65
245. Itemset: 58,51 | Total Utility: 20257.00 | Expected Support: 313.00
246. Itemset: 16 | Total Utility: 19056.00 | Expected Support: 583.35
247. Itemset: 58,13 | Total Utility: 18779.00 | Expected Support: 443.77
248. Itemset: 52,33 | Total Utility: 18549.00 | Expected Support: 60.56
249. Itemset: 58,12 | Total Utility: 17591.00 | Expected Support: 273.36
250. Itemset: 58 | Total Utility: 17532.00 | Expected Support: 1608.61
251. Itemset: 58,75 | Total Utility: 17348.00 | Expected Support: 198.65
252. Itemset: 40,6 | Total Utility: 17176.00 | Expected Support: 54.35
253. Itemset: 36 | Total Utility: 17005.00 | Expected Support: 1578.62
254. Itemset: 62 | Total Utility: 16861.00 | Expected Support: 1549.63
255. Itemset: 58,39 | Total Utility: 16520.00 | Expected Support: 260.32
256. Itemset: 58,55 | Total Utility: 16344.00 | Expected Support: 252.04
257. Itemset: 58,14 | Total Utility: 16317.00 | Expected Support: 374.50
258. Itemset: 40,57 | Total Utility: 16184.00 | Expected Support: 46.29
259. Itemset: 58,43 | Total Utility: 16052.00 | Expected Support: 112.02
260. Itemset: 58,28 | Total Utility: 15975.00 | Expected Support: 248.44
261. Itemset: 25 | Total Utility: 15540.00 | Expected Support: 1391.06
262. Itemset: 24 | Total Utility: 15120.00 | Expected Support: 695.32
263. Itemset: 42 | Total Utility: 14904.00 | Expected Support: 1383.56
264. Itemset: 58,32 | Total Utility: 14555.00 | Expected Support: 112.09
265. Itemset: 58,47 | Total Utility: 14396.00 | Expected Support: 151.75
266. Itemset: 44 | Total Utility: 14322.00 | Expected Support: 1288.25
267. Itemset: 46 | Total Utility: 14126.00 | Expected Support: 1329.64
268. Itemset: 40,35 | Total Utility: 13917.00 | Expected Support: 38.08
269. Itemset: 58,20 | Total Utility: 13566.00 | Expected Support: 318.28
270. Itemset: 58,73 | Total Utility: 13534.00 | Expected Support: 203.42
271. Itemset: 51 | Total Utility: 13460.00 | Expected Support: 614.90
272. Itemset: 43 | Total Utility: 13435.00 | Expected Support: 240.12
273. Itemset: 74 | Total Utility: 13355.00 | Expected Support: 1236.42
274. Itemset: 52,26 | Total Utility: 13146.00 | Expected Support: 85.57
275. Itemset: 40,49 | Total Utility: 12977.00 | Expected Support: 43.67
276. Itemset: 75 | Total Utility: 12903.00 | Expected Support: 408.25
277. Itemset: 58,65 | Total Utility: 12850.00 | Expected Support: 140.36
278. Itemset: 58,33 | Total Utility: 12486.00 | Expected Support: 59.26
279. Itemset: 40,67 | Total Utility: 12432.00 | Expected Support: 43.58
280. Itemset: 21 | Total Utility: 12330.00 | Expected Support: 1139.99
281. Itemset: 52,6 | Total Utility: 12168.00 | Expected Support: 59.01
282. Itemset: 38 | Total Utility: 12162.00 | Expected Support: 1102.17
283. Itemset: 32 | Total Utility: 12055.00 | Expected Support: 226.57
284. Itemset: 54 | Total Utility: 11992.00 | Expected Support: 1120.08
285. Itemset: 12 | Total Utility: 11926.00 | Expected Support: 540.76
286. Itemset: 58,10 | Total Utility: 11793.00 | Expected Support: 82.85
287. Itemset: 58,4 | Total Utility: 11591.00 | Expected Support: 97.45
288. Itemset: 33 | Total Utility: 11403.00 | Expected Support: 115.49
289. Itemset: 58,18 | Total Utility: 11198.00 | Expected Support: 175.86
290. Itemset: 52,57 | Total Utility: 11046.00 | Expected Support: 48.10
291. Itemset: 39 | Total Utility: 11028.00 | Expected Support: 508.86
292. Itemset: 55 | Total Utility: 10966.00 | Expected Support: 492.93
293. Itemset: 47 | Total Utility: 10791.00 | Expected Support: 315.83
294. Itemset: 58,22 | Total Utility: 10611.00 | Expected Support: 250.94
295. Itemset: 28 | Total Utility: 10538.00 | Expected Support: 496.18
296. Itemset: 52,35 | Total Utility: 10140.00 | Expected Support: 44.33
297. Itemset: 10 | Total Utility: 10074.00 | Expected Support: 163.16
298. Itemset: 4 | Total Utility: 9690.00 | Expected Support: 188.64
299. Itemset: 65 | Total Utility: 9627.00 | Expected Support: 291.28
300. Itemset: 13 | Total Utility: 9292.00 | Expected Support: 884.33
==================================================
Execution Time: 436.40 seconds
Memory Usage: 75.60 MB
==================================================
